onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.954	0	act	0.42	9	left	cor	0.7	3
13.394	0	act	0.36	9	left	cor	0.67	3.34
22.8714	0	act	0.32	8	right	cor	0.94	2.68
32.494	0	act	0.38	8	right	cor	0.24	2.08
42.1932	0	act	0.48	7	right	err	0.01	2.76
51.8536	0	act	0.34	8	right	cor	0.77	1.24
61.7734	0	act	0.36	8	right	cor	0.89	1.38
71.3312	0	act	0.36	7	right	cor	0.82	1.64
80.8528	0	act	0.38	7	right	err	0.05	1.48
90.8122	0	act	0.36	8	left	err	0.52	1.04
99.8128	0	act	0.44	9	left	cor	0.91	0.62
108.932	0	act	0.36	9	right	cor	0.94	3.88
122.9526	0	obs	0.48	7	right	err	0.59	1.6
132.61	0	obs	0.36	9	right	cor	0.7	3.4
142.6312	0	obs	0.38	8	right	cor	0.76	3.12
152.3298	0	obs	0.34	8	right	cor	0.61	1.56
162.251	0	obs	0.38	7	right	err	0.42	0.74
172.2146	0	obs	0.32	8	right	cor	0.98	2.76
181.831	0	obs	0.36	9	left	cor	0.68	3.36
191.3094	0	obs	0.36	8	right	cor	0.75	1.1
200.8708	0	obs	0.44	9	left	cor	0.68	1.42
209.9892	0	obs	0.42	9	left	cor	0.69	2.98
219.4306	0	obs	0.36	7	right	cor	0.95	1.9
228.9508	0	obs	0.36	8	left	err	0.31	0.62
241.9494	0	act-bad	0.64	8	left	cor	0.42	1.94
251.3328	0	act	0.34	8	left	err	0.35	0.88
260.49	0	act	0.34	9	left	cor	0.62	0.84
269.5294	0	act	0.32	9	right	cor	0.92	1.84
279.3078	0	act-bad	-0.02	8	right	err	0.03	0.86
289.189	0	act	0.34	9	right	cor	0.94	3.88
298.9326	0	act	0.5	9	left	cor	0.79	2.38
308.008	0	act	0.36	8	left	err	0.62	1.24
317.2682	0	act	0.36	9	right	err	0.04	3.68
327.1086	0	act	0.42	10	left	cor	0.36	2.86
336.408	0	act-bad	-0.02	10	left	err	0.26	1.32
345.7498	0	act	0.32	11	left	err	0.6	0.78
358.966	0	obs	0.36	8	left	err	0.2	3.58
368.2264	0	obs-bad	0.64	8	left	cor	0.45	1.88
377.611	0	obs	0.32	11	left	err	0.27	1.44
386.8252	0	obs-bad	0.52	8	right	cor	0.92	2.64
396.7074	0	obs	0.36	9	right	err	0.04	3.5
406.547	0	obs	0.34	9	right	cor	0.93	3.86
416.2904	0	obs	0.42	10	left	cor	0.65	0.9
425.5846	0	obs	0.5	9	left	cor	0.63	2.06
434.6704	0	obs	0.32	9	right	cor	0.88	1.76
444.4444	0	obs-bad	0.52	10	left	cor	0.89	2.58
453.7848	0	obs	0.34	8	left	err	0.41	0.76
462.9462	0	obs	0.34	9	left	cor	0.31	2.96
