filename	acq_time	operator	randstr
func/sub-16_ses-001_task-main_run-001_bold.nii.gz	2017-07-13T11:30:45	n/a	GK.!HNMJ
func/sub-16_ses-001_task-main_run-002_bold.nii.gz	2017-07-13T11:35:45	n/a	W.#u:6[7
fmap/sub-16_ses-001_magnitude.nii.gz	2017-07-13T11:42:46	n/a	"u$R9Ti""l"
fmap/sub-16_ses-001_magnitude1.nii.gz	2017-07-13T11:42:46	n/a	~%s-h,k.
fmap/sub-16_ses-001_magnitude2.nii.gz	2017-07-13T11:42:46	n/a	D5#.AVCj
func/sub-16_ses-001_task-main_run-003_bold.nii.gz	2017-07-13T11:50:45	n/a	"u""feE12N"
func/sub-16_ses-001_task-main_run-004_bold.nii.gz	2017-07-13T11:52:45	n/a	_5\m/*9R
func/sub-16_ses-001_task-rest_run-001_bold.nii.gz	2017-07-13T12:05:05	n/a	!WoCSG>R
func/sub-16_ses-001_task-main_run-005_bold.nii.gz	2017-07-13T12:11:45	n/a	hUz^2nj]
func/sub-16_ses-001_task-main_run-006_bold.nii.gz	2017-07-13T12:23:45	n/a	nl#/Es~q
