onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.643	0	act	0.42	24	left	cor	0.9	4.6
12.7614	0	act	0.34	24	left	cor	0.89	3.78
22.2418	0	act	0.36	23	left	cor	0.88	2.56
31.3212	0	act-bad	0.54	23	right	err	0.06	0.66
41.2026	0	act-bad	0.34	24	right	cor	0.88	0.56
50.8628	0	act	0.36	24	left	cor	0.9	2.6
60.2024	0	act	0.38	23	left	cor	0.92	3.44
69.642	0	act	0.38	23	right	err	0.24	1.28
79.2598	0	act	0.3	24	left	cor	0.84	1.28
88.5612	0	act	0.4	24	left	cor	0.86	1.32
97.5998	0	act-bad	0.54	23	left	cor	0.28	0.56
106.861	0	act	0.34	23	left	cor	0.9	3.8
120.0798	0	obs	0.42	24	left	cor	0.96	4.72
129.2016	0	obs	0.36	23	left	cor	0.83	2.46
138.2794	0	obs-bad	0.54	23	left	cor	0.83	1.66
147.544	0	obs-bad	0.34	23	left	cor	0.98	3.96
156.7602	0	obs	0.34	24	right	cor	0.93	0.66
166.421	0	obs	0.38	23	right	err	0.05	0.68
176.038	0	obs	0.34	24	left	cor	0.89	3.78
185.5184	0	obs	0.3	24	left	cor	0.9	1.4
194.8178	0	obs	0.38	23	left	cor	0.9	3.4
204.2582	0	obs-bad	0.54	23	right	err	0.06	0.66
214.1376	0	obs	0.36	24	left	cor	0.9	2.6
223.4798	0	obs	0.4	24	left	cor	0.9	1.4
236.5222	0	act	0.4	22	right	err	0.02	3.54
246.3586	0	act	0.38	23	right	cor	0.86	3.72
256.102	0	act	0.36	23	right	err	0.11	2.56
266.0184	0	act	0.44	24	right	cor	0.95	5.9
275.7988	0	act	0.46	24	right	err	0.15	1.28
285.7562	0	act-bad	0.52	25	left	cor	0.09	3.8
294.7566	0	act	0.34	25	left	cor	0.89	0.58
304.138	0	act	0.36	24	right	err	0.24	1.1
313.8384	0	act	0.3	25	right	err	0.1	3.38
323.3976	0	act	0.44	26	right	err	0.1	3.78
332.92	0	act	0.36	27	right	cor	0.9	3.8
342.9374	0	act	0.38	27	left	cor	0.83	3.26
356.0952	0	obs	0.3	25	right	err	0.13	3.32
365.6556	0	obs	0.38	27	left	cor	0.88	3.36
374.8148	0	obs	0.44	26	right	err	0.04	4.08
384.3362	0	obs	0.36	27	right	cor	0.97	4.06
394.3546	0	obs	0.4	22	right	err	0.07	3.44
404.194	0	obs	0.38	23	right	cor	0.86	3.72
413.9364	0	obs-bad	0.52	25	left	cor	0.91	1.82
422.9338	0	obs-bad	0.34	25	left	cor	0.94	0.68
432.316	0	obs	0.44	24	right	cor	0.91	1.82
442.0956	0	obs	0.46	24	right	err	0.12	1.34
452.056	0	obs	0.36	24	right	err	0.12	1.34
461.7532	0	obs	0.36	23	right	err	0.93	0.66
