onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.6768	0	act	0.48	17	left	cor	0.83	3.26
12.8372	0	act	0.4	17	right	err	0.46	1.06
22.8566	0	act	0.36	18	right	cor	0.89	1.78
32.379	0	act	0.38	18	left	cor	0.68	0.62
41.8564	0	act-bad	0.54	17	right	cor	0.06	2.66
51.7758	0	act	0.32	17	left	cor	0.69	1.38
60.776	0	act	0.44	16	right	err	0.28	2.22
70.4356	0	act	0.36	17	right	err	0.3	0.98
80.396	0	act	0.42	18	right	err	0.48	0.56
89.9584	0	act	0.42	19	right	err	0.51	1.82
99.8338	0	act	0.4	20	left	cor	0.82	1.14
109.215	0	act-bad	0.52	20	right	err	0.06	1.86
122.9548	0	obs-bad	0.52	20	right	err	0.75	3.5
132.693	0	obs	0.38	18	left	cor	0.93	3.86
142.1744	0	obs	0.32	17	left	cor	0.87	1.74
151.1778	0	obs-bad	0.54	17	right	cor	0.91	0.62
161.094	0	obs	0.4	20	left	cor	0.88	0.56
170.4726	0	obs	0.36	18	right	cor	0.96	1.92
179.9918	0	obs	0.4	17	right	err	0.4	2.8
190.0132	0	obs	0.42	19	right	err	0.38	1.56
199.8938	0	obs	0.48	17	left	cor	0.82	3.24
209.0562	0	obs	0.36	17	right	err	0.82	3.24
219.0134	0	obs	0.44	16	right	err	0.41	1.96
228.6728	0	obs	0.42	18	right	err	0.61	0.82
242.2354	0	act	0.42	21	right	err	0.43	0.46
252.0728	0	act	0.36	22	right	err	0.61	1.22
261.8522	0	act	0.38	23	right	err	0.37	1.54
271.4728	0	act	0.42	24	left	cor	0.88	1.36
280.5116	0	act	0.46	24	left	cor	0.97	2.74
289.5922	0	act	0.38	23	left	cor	0.96	2.72
298.9314	0	act	0.44	23	left	cor	0.88	0.56
308.0518	0	act	0.34	22	left	cor	0.84	3.28
317.4914	0	act	0.28	22	left	err	0.48	0.96
326.7514	0	act	0.34	23	left	cor	0.83	3.66
335.971	0	act	0.4	23	right	err	0.19	1.2
345.6694	0	act	0.34	24	left	cor	0.78	1.16
358.974	0	obs	0.34	23	left	cor	0.82	3.64
368.192	0	obs	0.34	24	left	cor	0.97	1.54
377.4896	0	obs	0.42	24	left	cor	0.94	1.48
386.528	0	obs	0.34	22	left	cor	0.99	3.58
395.9706	0	obs	0.46	24	left	cor	0.96	2.72
405.0478	0	obs	0.42	21	right	err	0.33	2.92
414.8904	0	obs	0.4	23	right	err	0.41	2.42
424.5896	0	obs	0.36	22	right	err	0.46	0.92
434.369	0	obs	0.44	23	left	cor	0.84	1.1
443.4894	0	obs	0.28	22	left	err	0.34	0.68
452.7518	0	obs	0.38	23	left	cor	0.94	2.68
462.0892	0	obs	0.38	23	right	err	0.39	1.58
