onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.3124	0	act	0.3	13	right	cor	0.78	1.56
14.092	0	act	0.44	13	left	err	0.34	2.1
23.4736	0	act	0.38	14	left	cor	0.61	2.82
32.6318	0	act	0.38	14	left	cor	0.9	0.6
41.751	0	act	0.34	13	left	cor	0.74	1.08
51.0514	0	act	0.38	13	right	cor	0.6	2.8
60.7502	0	act	0.44	12	left	cor	0.65	0.9
69.7884	0	act	0.38	12	left	cor	0.7	3
79.233	0	act	0.38	11	right	err	0.31	1.42
88.8522	0	act	0.42	12	right	cor	0.66	0.92
98.6878	0	act	0.36	12	left	err	0.43	3.12
107.9522	0	act	0.38	13	left	cor	0.68	2.16
121.2934	0	obs	0.44	12	left	cor	0.97	1.66
130.3322	0	obs	0.38	11	right	err	0.16	1.12
139.9526	0	obs	0.34	13	left	cor	0.83	1.26
149.2522	0	obs	0.36	12	left	err	0.33	3.32
158.5096	0	obs	0.38	14	left	cor	0.68	1.42
167.6292	0	obs	0.3	13	right	cor	0.76	2.46
177.411	0	obs	0.38	12	left	cor	0.66	2.92
186.8464	0	obs	0.42	12	right	cor	0.61	0.82
196.6906	0	obs	0.38	13	right	cor	0.83	3.26
206.391	0	obs	0.44	13	left	err	0.48	1.82
215.7654	0	obs	0.38	13	left	cor	0.69	2.18
225.108	0	obs	0.38	14	left	cor	0.77	3.14
238.2702	0	act-bad	0.7	13	right	cor	0.15	0.48
248.1478	0	act	0.34	13	left	cor	0.71	0.56
257.6278	0	act	0.42	12	right	cor	0.92	0.64
267.2864	0	act-bad	0.56	12	right	cor	0.86	0.52
277.2098	0	act	0.34	11	right	cor	0.69	3.38
286.9464	0	act	0.34	11	left	err	0.24	1.5
296.1646	0	act	0.36	12	right	err	0.31	3.36
305.6866	0	act	0.32	13	left	err	0.46	3.06
314.687	0	act	0.46	14	right	cor	0.85	3.7
324.7064	0	act	0.34	14	right	cor	0.93	3.46
334.6664	0	act	0.34	13	left	err	0.38	1.56
343.749	0	act	0.5	14	right	cor	0.73	1.06
357.3054	0	obs	0.34	13	left	err	0.24	1.28
366.3888	0	obs	0.36	12	right	err	0.35	0.7
375.9028	0	obs-bad	0.56	12	right	cor	0.79	1.2
385.8284	0	obs	0.42	12	right	cor	0.78	1.22
395.4826	0	obs	0.46	14	right	cor	0.93	3.86
405.5072	0	obs-bad	0.7	13	right	cor	0.33	1.46
415.3874	0	obs	0.34	11	left	err	0.46	1.06
424.6044	0	obs	0.34	11	right	cor	0.62	3.24
434.3396	0	obs	0.34	13	left	cor	0.75	3.5
443.8216	0	obs	0.32	13	left	err	0.23	3.52
452.828	0	obs	0.5	14	right	cor	0.83	1.26
462.3814	0	obs	0.34	14	right	cor	0.84	3.28
