onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.4934	0	act	0.32	12	right	cor	0.88	1.36
14.4528	0	act	0.34	12	right	cor	0.71	1.02
24.3764	0	act-bad	0.4	11	right	cor	0.83	4.46
34.0756	0	act	0.48	11	left	cor	0.59	2.78
43.073	0	act	0.36	10	left	cor	0.83	0.46
52.3754	0	act	0.34	10	right	cor	0.79	1.58
61.4956	0	act	0.34	9	left	cor	0.6	2.8
71.015	0	act	0.32	9	right	cor	0.82	1.14
80.6714	0	act	0.34	8	right	cor	0.76	1.52
90.2348	0	act	0.32	8	right	cor	0.8	3.2
100.0712	0	act	0.32	7	left	err	0.66	2.12
109.5116	0	act	0.38	8	left	err	0.28	0.56
122.854	0	obs	0.32	7	left	err	0.58	1.96
131.9748	0	obs	0.34	12	right	cor	0.8	1.2
141.8942	0	obs	0.32	8	right	cor	0.72	3.04
151.7334	0	obs	0.34	8	right	cor	0.96	1.92
161.2538	0	obs	0.34	10	right	cor	1	2
170.6934	0	obs	0.34	9	left	cor	0.55	2.7
180.2514	0	obs-bad	0.32	12	right	cor	0.56	0.72
189.9498	0	obs	0.32	9	right	cor	0.84	0.48
199.6104	0	obs	0.38	8	left	err	0.55	1.1
208.9128	0	obs	0.36	10	left	cor	0.9	0.6
218.2498	0	obs	0.48	11	left	cor	0.69	2.98
227.2522	0	obs	0.4	11	right	cor	0.71	1.36
241.2098	0	act	0.36	9	right	cor	0.7	3.4
250.691	0	act-bad	0.52	9	left	cor	0.68	1.42
259.9516	0	act	0.42	8	left	cor	0.87	3.74
269.1708	0	act	0.36	8	left	err	0.03	0.72
278.5486	0	act	0.4	9	left	cor	0.71	1.42
288.2918	0	act	0.38	9	right	cor	0.87	2.54
297.3312	0	act	0.3	8	left	err	0.25	3.08
307.2086	0	act	0.38	9	right	cor	0.91	3.82
316.988	0	act	0.4	9	right	cor	0.99	3.58
326.1474	0	act	0.32	8	right	cor	0.86	2.52
335.2294	0	act	0.32	8	left	err	0.11	1.76
344.847	0	act-bad	0.54	9	left	cor	0.38	2.82
358.8676	0	obs	0.36	9	right	cor	0.62	3.24
367.95	0	obs	0.36	8	left	err	0.21	1.22
377.1092	0	obs	0.4	9	right	cor	0.48	2.56
386.49	0	obs	0.3	8	left	err	0.3	2.98
396.3664	0	obs	0.4	9	left	cor	0.77	1.54
406.1496	0	obs	0.32	8	right	cor	0.91	2.62
415.627	0	obs	0.38	9	right	cor	0.98	3.96
424.8466	0	obs	0.42	8	left	cor	0.78	3.56
434.8658	0	obs-bad	0.54	9	left	cor	0.49	2.6
444.1262	0	obs-bad	0.52	9	left	cor	0.85	4.5
453.8656	0	obs	0.38	9	right	cor	0.3	1.4
462.906	0	obs	0.32	8	left	err	0.18	1.62
