onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.9168	0	act	0.38	8	left	err	0.41	1.96
13.294	0	act	0.46	9	right	cor	0.83	1.26
23.1364	0	act	0.46	9	left	cor	0.55	1.68
32.257	0	act	0.46	8	left	cor	0.93	1.46
41.5562	0	act	0.44	8	left	cor	0.91	3.82
51.0326	0	act	0.4	7	right	cor	0.98	0.76
60.6934	0	act	0.42	7	left	cor	0.64	0.7
69.9154	0	act	0.46	6	right	cor	0.61	2.76
79.6928	0	act	0.38	6	left	err	0.56	1.12
88.9552	0	act	0.5	7	right	cor	0.83	3.26
98.6526	0	act-bad	0.52	7	left	cor	0.74	2.28
107.9948	0	act	0.42	6	right	cor	0.72	1.04
121.5524	0	obs	0.46	9	left	cor	0.22	2.34
130.6718	0	obs	0.5	7	right	cor	0.8	3.2
140.371	0	obs	0.46	9	right	cor	0.98	1.56
150.2116	0	obs	0.42	6	right	cor	0.87	1.34
159.7712	0	obs-bad	0.52	7	left	cor	0.92	2.64
169.1146	0	obs	0.42	7	left	cor	0.59	0.8
178.3308	0	obs	0.4	7	right	cor	0.88	0.56
187.9938	0	obs	0.38	8	left	err	0.28	2.22
197.3738	0	obs	0.46	8	left	cor	0.72	1.04
206.671	0	obs	0.44	8	left	cor	0.89	3.78
216.1504	0	obs	0.38	6	left	err	0.31	3.36
225.4104	0	obs	0.46	6	right	cor	0.8	1.6
239.1904	0	act	0.48	6	left	err	0.31	0.96
248.6324	0	act	0.46	7	right	cor	0.81	1.62
258.1528	0	act	0.42	7	right	cor	0.45	0.68
268.109	0	act	0.38	6	right	cor	0.75	3.5
278.1284	0	act	0.4	6	left	err	0.3	2.98
287.1692	0	act	0.46	7	right	cor	0.79	2.38
297.0514	0	act	0.48	7	left	cor	0.75	2.3
306.1266	0	act	0.44	6	right	cor	0.49	1.78
315.7512	0	act	0.42	6	right	cor	0.54	1.7
325.6686	0	act	0.42	5	left	err	0.28	1.02
334.8308	0	act-bad	0.56	6	right	cor	0.4	1.18
344.5712	0	act	0.36	6	left	err	0.28	3.42
357.5678	0	obs	0.4	6	left	err	0.46	2.66
366.605	0	obs	0.38	6	right	cor	0.44	1.1
376.6274	0	obs-bad	0.56	6	right	cor	0.72	3.44
386.3698	0	obs	0.42	7	right	cor	0.73	3.06
396.3238	0	obs	0.48	6	left	err	0.27	1.04
405.7672	0	obs	0.44	6	right	cor	0.77	2.34
415.3904	0	obs	0.48	7	left	cor	0.77	2.34
424.4666	0	obs	0.42	6	right	cor	0.8	4.4
434.3902	0	obs	0.36	6	left	err	0.4	3.18
443.388	0	obs	0.46	7	right	cor	0.73	1.46
452.9058	0	obs	0.46	7	right	cor	0.79	2.38
462.789	0	obs	0.42	5	left	err	0.33	0.92
