onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.957	0	act-bad	0.48	15	left	err	-1	-0.02
13.3972	0	act	0.48	16	left	cor	0.87	3.74
22.6114	0	act	0.46	16	left	cor	0.83	1.66
31.6168	0	act	0.36	15	right	cor	0.91	1.82
41.1342	0	act	0.46	15	left	cor	0.85	1.3
50.4338	0	act	0.4	14	right	cor	0.94	2.68
60.3162	0	act	0.42	14	right	cor	0.88	3.76
70.0536	0	act-bad	0.52	13	left	cor	0.6	2
79.396	0	act	0.44	13	left	cor	0.79	3.58
88.8724	0	act	0.44	12	right	cor	0.69	1.38
98.6526	0	act	0.44	12	right	cor	0.85	3.7
108.6748	0	act	0.38	11	left	cor	0.94	0.68
122.0526	0	obs	0.38	11	left	cor	0.93	0.66
131.4322	0	obs	0.44	12	right	cor	0.77	3.54
141.4524	0	obs	0.46	15	left	cor	0.83	1.26
150.755	0	obs	0.48	16	left	cor	0.84	3.68
159.9744	0	obs	0.42	14	right	cor	0.9	3.8
169.7118	0	obs	0.44	13	left	cor	0.9	3.8
179.1912	0	obs	0.46	16	left	cor	0.96	1.92
188.1918	0	obs	0.36	15	right	cor	0.97	1.94
197.7138	0	obs	0.4	14	right	cor	0.96	2.72
207.5912	0	obs-bad	0.52	13	left	cor	0.62	2.04
216.9314	0	obs	0.48	15	left	err	0.2	1.18
226.3708	0	obs	0.44	12	right	cor	0.68	1.36
240.1532	0	act	0.44	11	left	cor	0.85	1.3
249.1896	0	act	0.42	11	left	cor	0.71	3.02
258.348	0	act	0.36	10	right	cor	0.86	3.32
268.0498	0	act	0.34	10	right	cor	0.83	1.26
277.8878	0	act	0.42	9	right	err	0.59	2.78
287.85	0	act	0.42	10	right	cor	0.83	1.26
297.4126	0	act	0.46	10	left	err	0.48	1.82
306.532	0	act	0.38	11	right	cor	0.62	4.04
316.4482	0	act	0.44	11	right	cor	0.72	2.24
326.0696	0	act	0.34	10	left	err	0.42	3.14
335.3312	0	act	0.5	11	left	cor	0.85	2.5
344.4116	0	act	0.42	11	right	cor	0.89	0.58
358.0682	0	obs	0.46	10	left	err	0.15	2.48
367.1886	0	obs	0.5	11	left	cor	0.95	2.7
376.2658	0	obs	0.34	10	left	err	0.19	3.6
385.5302	0	obs	0.42	11	right	cor	0.96	0.72
395.1906	0	obs	0.36	10	right	cor	0.46	2.52
404.89	0	obs	0.42	9	right	err	0.71	3.02
414.8504	0	obs	0.42	10	right	cor	0.74	1.08
424.4068	0	obs	0.42	11	left	cor	0.91	3.42
433.5672	0	obs	0.44	11	left	cor	0.94	1.48
442.6066	0	obs	0.38	11	right	cor	0.94	0.68
452.527	0	obs	0.34	10	right	cor	0.91	1.42
462.3696	0	obs	0.44	11	right	cor	0.97	2.74
