onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.2948	0	act	0.34	13	right	cor	0.67	1.34
14.0742	0	act	0.3	13	left	cor	0.78	3.56
23.5566	0	act	0.3	12	right	cor	0.71	2.22
33.1772	0	act	0.36	12	left	cor	0.81	1.62
42.1766	0	act	0.4	11	right	cor	0.71	1.42
51.697	0	act	0.36	11	left	err	0.11	1.04
61.036	0	act	0.32	12	right	err	0.05	1.88
70.7754	0	act	0.34	13	right	cor	0.84	1.28
80.6142	0	act	0.4	13	right	err	0.39	2.38
90.5732	0	act	0.42	14	left	cor	0.97	2.74
99.6526	0	act	0.42	14	left	cor	0.74	1.3
109.0302	0	act	0.38	13	left	cor	0.67	2.24
122.0758	0	obs	0.42	14	left	cor	0.75	1.28
131.4552	0	obs	0.34	13	right	cor	0.65	2.68
141.2354	0	obs	0.4	13	right	err	0.19	1.98
151.1898	0	obs	0.42	14	left	cor	0.8	2.4
160.2678	0	obs	0.3	13	left	cor	0.73	3.46
169.7494	0	obs	0.3	12	right	cor	0.85	2.5
179.3712	0	obs	0.34	13	right	cor	0.87	1.34
189.2118	0	obs	0.4	11	right	cor	0.66	1.32
198.734	0	obs	0.38	13	left	cor	0.84	1.28
207.771	0	obs	0.36	11	left	err	0.41	3.96
217.1104	0	obs	0.36	12	left	cor	0.64	1.28
226.112	0	obs	0.32	12	right	err	0.08	2.16
239.8514	0	act	0.34	13	right	cor	0.64	1.5
249.513	0	act	0.48	13	right	cor	0.72	2.24
259.3902	0	act	0.48	12	right	cor	0.69	1.4
269.3126	0	act	0.34	12	left	cor	0.59	4.78
278.613	0	act	0.5	11	right	cor	0.66	0.92
288.1722	0	act	0.36	11	left	err	0.28	2.56
297.3928	0	act	0.38	12	left	err	0.06	2.92
306.5098	0	act	0.42	13	right	cor	0.65	2.9
316.2094	0	act-bad	0.94	13	left	cor	0.48	0.96
325.4718	0	act	0.34	12	left	err	0.16	1.92
334.6312	0	act	0.34	13	left	cor	0.74	3.08
344.0692	0	act	0.46	13	right	cor	0.76	3.52
358.088	0	obs	0.38	12	left	err	0.26	2.26
367.2064	0	obs	0.34	13	right	cor	0.79	1.2
376.866	0	obs	0.42	13	right	cor	0.85	3.3
386.5664	0	obs	0.36	11	left	err	0.39	1.2
395.7884	0	obs-bad	0.94	13	left	cor	0.18	0.36
405.0502	0	obs	0.34	12	left	err	0.26	2.12
414.2066	0	obs	0.46	13	right	cor	0.88	3.76
424.2278	0	obs	0.34	12	left	cor	0.62	0.84
433.5276	0	obs	0.48	13	right	cor	0.69	2.18
443.4096	0	obs	0.5	11	right	cor	0.68	0.96
452.9702	0	obs	0.34	13	left	cor	0.51	2.62
462.4064	0	obs	0.48	12	right	cor	0.68	1.42
