onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.3988	0	act	0.4	9	right	cor	0.85	2.5
14.275	0	act	0.42	9	left	cor	0.68	1.36
23.5376	0	act	0.34	8	right	cor	0.53	1.06
33.055	0	act	0.32	8	left	cor	0.54	0.68
42.3544	0	act	0.32	7	right	cor	0.59	1.18
52.1346	0	act	0.38	7	right	cor	0.54	0.5
61.832	0	act	0.42	6	right	cor	0.53	0.66
71.6744	0	act	0.32	6	right	err	0.31	2.16
81.5938	0	act	0.4	7	left	cor	0.71	0.56
91.0772	0	act	0.3	7	left	err	0.36	1.52
100.1566	0	act	0.42	8	left	cor	0.38	1.56
109.4938	0	act	0.3	8	right	cor	0.82	3.24
123.4536	0	obs	0.4	7	left	cor	0.61	0.76
132.931	0	obs	0.32	7	right	cor	0.67	5.34
142.7146	0	obs	0.38	7	right	cor	0.77	3.14
152.4108	0	obs	0.34	8	right	cor	0.49	0.98
161.9364	0	obs	0.42	8	left	cor	0.47	1.74
171.2692	0	obs	0.3	8	right	cor	0.66	2.92
181.2318	0	obs	0.4	9	right	cor	0.88	2.56
191.1122	0	obs	0.42	9	left	cor	0.89	1.78
200.3718	0	obs	0.42	6	right	cor	0.49	0.58
210.2132	0	obs	0.32	6	right	err	0.31	2.16
220.1314	0	obs	0.3	7	left	err	0.32	1.44
229.2118	0	obs	0.32	8	left	cor	0.45	2.68
242.5142	0	act	0.44	7	left	err	0.58	1.62
251.8938	0	act	0.36	8	left	cor	0.47	0.64
261.051	0	act	0.38	8	left	err	0.27	3.44
270.0504	0	act	0.3	9	right	cor	0.96	1.52
279.6108	0	act	0.4	9	left	cor	0.54	1.7
288.728	0	act	0.32	8	left	err	0.47	1.04
297.9506	0	act	0.42	9	left	err	0.32	2.94
306.9878	0	act	0.28	10	right	cor	0.87	0.54
316.6504	0	act	0.38	10	right	cor	0.67	0.64
326.6696	0	act	0.3	9	right	cor	0.65	0.68
336.4082	0	act	0.32	9	right	cor	0.67	2.14
346.0274	0	act	0.34	8	left	err	0.28	1.02
359.4722	0	obs	0.38	8	left	err	0.47	0.94
368.4696	0	obs	0.28	10	right	cor	0.86	0.52
378.129	0	obs	0.44	7	left	err	0.26	2.26
387.5072	0	obs	0.32	9	right	cor	0.94	2.68
397.1284	0	obs	0.36	8	left	cor	0.51	0.56
406.2902	0	obs	0.32	8	left	err	0.53	0.92
415.5084	0	obs	0.34	8	left	err	0.35	0.88
424.9494	0	obs	0.4	9	left	cor	0.48	1.82
434.068	0	obs	0.42	9	left	err	0.4	4.4
443.1076	0	obs	0.38	10	right	cor	0.74	0.5
453.126	0	obs	0.3	9	right	cor	0.55	0.88
462.8672	0	obs	0.3	9	right	cor	0.47	0.54
