onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.187	0	act	0.42	18	right	cor	0.89	0.58
13.8496	0	act-bad	0.58	18	right	cor	-1	-0.02
23.4058	0	act	0.32	17	right	err	0.15	4.48
33.0262	0	act	0.34	18	right	cor	0.85	3.3
42.7256	0	act	0.38	18	left	cor	0.85	1.3
52.024	0	act	0.4	17	left	cor	0.8	1.6
61.028	0	act	0.32	17	right	cor	0.54	0.68
70.8636	0	act	0.36	16	right	err	0.38	3.22
80.383	0	act	0.32	17	right	cor	0.74	3.08
90.3456	0	act	0.36	17	right	cor	0.61	3.22
100.365	0	act	0.32	16	left	cor	0.85	3.3
109.5252	0	act	0.34	16	right	cor	0.63	2.06
123.405	0	obs	0.32	17	right	cor	0.92	3.44
133.3674	0	obs	0.32	16	left	cor	0.83	3.26
142.5226	0	obs	0.34	16	right	cor	0.55	1.9
152.4072	0	obs-bad	0.58	18	right	cor	0.78	1.16
161.9676	0	obs	0.32	17	right	cor	0.39	2.8
171.8066	0	obs	0.42	18	right	cor	0.62	1.54
181.4634	0	obs	0.38	18	left	cor	0.85	1.3
190.7666	0	obs	0.34	18	right	cor	0.87	3.34
200.4608	0	obs	0.36	16	right	err	0.49	3
209.9864	0	obs	0.4	17	left	cor	0.83	1.66
218.9858	0	obs	0.32	17	right	err	0.08	0.62
228.6054	0	obs	0.36	17	right	cor	0.79	3.58
242.6226	0	act	0.38	15	left	cor	0.83	0.46
252.0046	0	act	0.46	15	right	err	0.44	1.9
261.9254	0	act	0.4	16	left	cor	0.88	3.36
271.3618	0	act	0.42	16	left	cor	0.69	2.18
280.705	0	act	0.36	15	left	cor	0.74	3.48
289.924	0	act	0.36	15	right	err	0.35	2.7
299.6648	0	act	0.32	16	left	cor	0.91	3.82
309.141	0	act	0.32	16	right	cor	0.59	1.18
318.9214	0	act	0.36	15	left	cor	0.72	1.44
328.184	0	act	0.38	15	left	cor	0.81	2.42
337.2602	0	act	0.34	14	left	cor	0.82	1.14
346.3836	0	act	0.36	14	left	cor	0.65	0.9
359.4202	0	obs	0.4	16	left	cor	0.84	3.28
368.864	0	obs	0.38	15	left	cor	0.95	2.7
377.943	0	obs	0.32	16	right	cor	0.33	3.32
387.7184	0	obs	0.46	15	right	err	0.52	1.74
397.6396	0	obs	0.36	15	right	err	0.31	1.36
407.3772	0	obs	0.42	16	left	cor	0.77	2.34
416.7174	0	obs	0.36	14	left	cor	0.64	0.88
425.7616	0	obs	0.32	16	left	cor	0.79	3.58
435.2422	0	obs	0.36	15	left	cor	0.44	3.1
444.5018	0	obs	0.38	15	left	cor	0.88	0.56
453.8822	0	obs	0.36	15	left	cor	0.82	3.64
463.1014	0	obs	0.34	14	left	cor	0.68	1.42
