onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.1358	0	act	0.3	19	right	cor	0.63	2.06
13.7534	0	act	0.42	19	right	cor	0.7	3
23.7158	0	act	0.4	18	right	cor	0.76	1.12
33.2764	0	act	0.44	18	right	cor	0.9	0.6
43.1926	0	act	0.42	17	right	cor	0.57	1.64
52.8494	0	act	0.4	17	right	cor	0.38	0.82
62.5524	0	act	0.32	16	left	err	0.17	0.44
71.635	0	act	0.44	17	right	err	0.29	0.58
81.1502	0	act	0.44	18	left	cor	0.28	0.56
90.4148	0	act	0.34	18	left	err	0.11	3.36
99.45	0	act	0.42	19	right	cor	0.78	5.56
109.2294	0	act	0.36	19	left	err	0.13	1.72
122.454	0	obs	0.32	16	left	err	0.11	0.56
131.5278	0	obs	0.34	18	left	err	0.18	3.22
140.5736	0	obs	0.3	19	right	cor	0.76	2.32
150.194	0	obs	0.42	17	right	cor	0.7	1.38
159.8482	0	obs	0.4	18	right	cor	0.44	0.48
169.411	0	obs	0.42	19	right	cor	0.82	3.24
179.3682	0	obs	0.36	19	left	err	0.19	1.6
188.5906	0	obs	0.44	17	right	err	0.23	3.52
198.11	0	obs	0.44	18	right	cor	0.59	1.6
208.0338	0	obs	0.42	19	right	cor	0.49	4.98
217.8126	0	obs	0.4	17	right	cor	0.7	3
227.5104	0	obs	0.44	18	left	cor	0.72	1.44
240.7724	0	act	0.48	20	left	cor	0.7	1.38
249.8888	0	act	0.38	20	right	cor	0.56	1.92
259.7674	0	act	0.44	19	left	cor	0.65	2.9
269.2066	0	act	0.36	19	right	cor	0.67	2.24
279.0472	0	act	0.42	18	left	cor	0.84	1.1
288.4264	0	act	0.44	18	right	cor	0.63	3.26
298.169	0	act	0.48	17	left	cor	0.84	3.68
307.6484	0	act	0.42	17	right	cor	0.51	0.96
317.6688	0	act	0.38	16	left	cor	0.72	1.44
326.6662	0	act-bad	0.7	16	left	err	0.26	1.06
335.8284	0	act	0.38	17	left	err	0.15	0.48
345.1658	0	act	0.34	18	left	err	0.22	3.14
358.4706	0	obs	0.38	17	left	err	0.17	0.44
367.808	0	obs	0.48	20	left	cor	0.85	1.08
376.9302	0	obs	0.36	19	right	cor	0.87	1.34
386.7678	0	obs-bad	0.7	16	left	err	0.14	1.3
395.93	0	obs	0.44	18	right	cor	0.71	0.56
405.6676	0	obs	0.42	17	right	cor	0.7	3.4
415.6868	0	obs	0.38	20	right	cor	0.67	2.14
425.5694	0	obs	0.44	19	left	cor	0.63	2.86
435.0066	0	obs	0.38	16	left	cor	0.73	1.46
444.0038	0	obs	0.48	17	left	cor	0.39	1.2
453.4894	0	obs	0.42	18	left	cor	0.78	1.22
462.8688	0	obs	0.34	18	left	err	0.07	3.44
