onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.3116	0	act	0.32	15	right	err	0.26	3.46
14.092	0	act	0.42	16	left	cor	0.75	2.3
23.4294	0	act	0.44	16	left	cor	0.78	3.16
32.8744	0	act	0.4	15	left	cor	0.89	3.78
42.3492	0	act	0.32	15	left	err	0.12	3.34
51.6514	0	act	0.42	16	right	cor	0.91	3.42
61.611	0	act	0.42	16	right	cor	0.8	2.4
71.2294	0	act	0.4	15	right	cor	0.64	0.7
80.9686	0	act	0.42	15	left	cor	0.66	2.12
90.051	0	act	0.36	14	left	cor	0.61	0.76
99.2704	0	act	0.4	14	left	cor	0.89	0.58
108.3886	0	act	0.42	13	right	cor	0.79	2.38
122.2692	0	obs	0.42	16	right	cor	0.93	3.46
132.2278	0	obs	0.42	15	left	cor	0.4	1.6
141.3082	0	obs	0.4	15	right	cor	0.67	0.64
151.0498	0	obs	0.32	15	left	err	0.21	3.16
160.348	0	obs	0.36	14	left	cor	0.92	3.84
169.5672	0	obs	0.44	16	left	cor	0.8	3.2
179.0066	0	obs	0.42	16	left	cor	0.91	2.62
188.3522	0	obs	0.4	14	left	cor	0.96	0.72
197.4666	0	obs	0.42	16	right	cor	0.95	2.7
207.0918	0	obs	0.42	13	right	cor	0.97	2.74
216.9684	0	obs	0.4	15	left	cor	0.9	3.8
226.4466	0	obs	0.32	15	right	err	0.06	3.86
240.231	0	act	0.44	13	left	cor	0.58	2.42
249.2674	0	act	0.42	13	right	cor	0.84	1.68
258.7878	0	act	0.44	12	right	cor	0.69	4.18
268.4472	0	act	0.42	12	left	cor	0.6	1.2
277.4476	0	act	0.44	11	left	err	0.19	2.4
286.83	0	act	0.38	12	right	cor	0.67	0.94
296.3872	0	act	0.4	12	left	err	0.18	3.62
305.6448	0	act	0.4	13	right	cor	0.8	3.6
315.665	0	act	0.4	13	left	cor	0.51	0.56
324.8262	0	act	0.4	12	right	cor	0.72	1.34
334.7448	0	act	0.42	12	right	cor	0.84	1.28
344.5842	0	act	0.46	11	right	cor	0.49	2.58
358.2838	0	obs	0.42	12	right	cor	0.93	1.46
368.1242	0	obs	0.44	12	right	cor	0.72	1.34
377.7838	0	obs	0.4	13	right	cor	0.77	3.54
387.8042	0	obs	0.38	12	right	cor	0.6	0.8
397.3636	0	obs	0.4	13	left	cor	0.47	2.54
406.5228	0	obs	0.46	11	right	cor	0.74	3.08
416.2232	0	obs	0.4	12	right	cor	0.69	1.4
426.1474	0	obs	0.44	11	left	err	0.3	2.18
435.525	0	obs	0.42	12	left	cor	0.8	1.6
444.5224	0	obs	0.44	13	left	cor	0.73	1.06
453.5648	0	obs	0.4	12	left	err	0.31	3.36
462.8222	0	obs	0.42	13	right	cor	0.77	1.54
