onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.438	0	act	0.38	17	right	cor	0.75	4.3
14.3596	0	act	0.46	17	right	cor	0.73	1.06
24.198	0	act	0.34	16	right	cor	0.61	1.22
33.978	0	act	0.48	16	right	cor	0.44	2.7
43.5378	0	act	0.4	15	left	cor	0.51	2.96
52.538	0	act-bad	0.62	15	right	cor	0.53	1.72
62.1952	0	act	0.32	14	left	err	0.33	4.26
71.4976	0	act	0.3	15	left	err	0.09	1.4
80.657	0	act	0.42	16	left	err	0.65	3.3
89.8774	0	act	0.48	17	left	err	0.58	2.76
99.3168	0	act	0.34	18	left	err	0.13	3.72
108.579	0	act	0.32	19	left	cor	0.72	2.24
121.9168	0	obs	0.38	17	right	cor	0.47	3.74
131.8362	0	obs	0.32	14	left	err	0.26	3.06
141.136	0	obs-bad	0.62	15	right	cor	0.79	1.2
150.7958	0	obs	0.34	18	left	err	0.32	3.34
160.0546	0	obs	0.3	15	left	err	0.34	0.9
169.2136	0	obs	0.4	15	left	cor	0.73	1.46
178.2182	0	obs	0.48	16	right	cor	0.9	1.4
187.7754	0	obs	0.42	16	left	err	0.41	1.16
196.9964	0	obs	0.32	19	left	cor	0.52	1.84
206.3384	0	obs	0.34	16	right	cor	0.76	1.52
216.1146	0	obs	0.48	17	left	err	0.27	1.04
225.5544	0	obs	0.46	17	right	cor	0.82	1.24
239.3944	0	act-bad	0.52	19	right	cor	0.72	2.24
249.2718	0	act	0.34	19	left	cor	0.93	3.86
258.7572	0	act	0.32	18	left	cor	0.63	1.52
268.1336	0	act	0.34	18	left	err	0.07	0.64
277.2138	0	act	0.38	19	right	cor	0.89	1.78
286.7312	0	act	0.36	19	right	cor	0.84	2.48
296.3538	0	act	0.36	18	right	cor	0.58	0.82
306.093	0	act	0.34	18	right	cor	0.71	3.02
315.7914	0	act	0.32	17	right	cor	0.61	2.82
325.7508	0	act	0.36	17	left	err	0.07	2.64
334.8744	0	act	0.4	18	left	cor	0.61	2.36
343.9124	0	act	0.4	18	right	cor	0.44	1.1
357.9322	0	obs	0.34	18	left	err	0.21	4.36
367.0126	0	obs	0.32	17	right	cor	0.78	3.16
376.972	0	obs	0.36	17	left	err	0.31	2.16
386.0904	0	obs	0.32	18	left	cor	0.91	0.62
395.4718	0	obs	0.4	18	left	cor	0.45	2.68
404.5122	0	obs	0.34	18	right	cor	0.98	3.56
414.2094	0	obs	0.4	18	right	cor	0.72	0.54
424.2338	0	obs	0.38	19	right	cor	0.82	1.64
433.7492	0	obs-bad	0.52	19	right	cor	0.76	2.32
443.6306	0	obs	0.36	18	right	cor	0.82	3.64
453.3712	0	obs-bad	0.36	19	right	cor	-1	2.48
462.9884	0	obs	0.34	19	left	cor	0.85	3.7
