onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.3646	0	act-bad	0.54	15	right	err	0.36	4.32
14.2048	0	act	0.28	16	left	err	0.17	0.44
23.546	0	act	0.36	17	right	cor	0.67	0.94
33.1046	0	act	0.32	17	left	err	0.15	3.28
42.1472	0	act	0.34	18	left	cor	0.78	1.56
51.4034	0	act	0.34	18	left	err	0.31	2.16
60.5238	0	act	0.4	19	right	cor	0.68	2.16
70.1462	0	act	0.36	19	right	cor	0.88	0.56
80.0666	0	act	0.4	18	right	cor	0.69	1.4
89.7228	0	act	0.38	18	left	cor	0.9	0.98
99.1032	0	act	0.32	17	right	cor	0.67	0.64
108.8456	0	act	0.34	17	right	cor	0.7	0.58
122.8652	0	obs	0.28	16	left	err	0.61	2.02
132.2036	0	obs	0.34	18	left	cor	0.91	1.82
141.4652	0	obs	0.4	18	right	cor	0.76	1.26
151.1254	0	obs	0.32	17	left	err	0.16	3.26
160.1626	0	obs-bad	0.54	15	right	err	0.7	1
170.0038	0	obs	0.34	18	left	err	0.28	2.22
179.1232	0	obs	0.38	18	left	cor	0.68	1.42
188.5018	0	obs	0.34	17	right	cor	0.71	3.42
198.5212	0	obs	0.4	19	right	cor	0.61	2.02
208.1418	0	obs	0.36	19	right	cor	0.66	1.46
218.0612	0	obs	0.36	17	right	cor	0.83	1.26
227.6234	0	obs	0.32	17	right	cor	0.77	3.54
241.361	0	act	0.4	16	right	cor	0.44	2.48
251.0612	0	act	0.26	16	left	cor	0.76	3.12
260.501	0	act	0.38	15	left	cor	0.86	3.72
269.9834	0	act	0.3	15	left	err	0.24	1.1
279.1412	0	act	0.36	16	left	cor	0.78	1.56
288.1396	0	act	0.36	16	left	cor	0.83	2.46
297.2192	0	act	0.32	15	left	cor	0.72	1.04
306.5176	0	act	0.3	15	right	cor	0.69	1.38
316.0406	0	act	0.38	14	right	err	0.59	1.18
325.819	0	act	0.32	15	right	err	0.23	1.12
335.7798	0	act	0.36	16	right	err	0.37	1.54
345.6592	0	act	0.32	17	left	err	0.03	1.92
358.8786	0	obs	0.36	16	right	err	0.12	0.54
368.761	0	obs	0.32	15	right	err	0.56	2.72
378.7218	0	obs	0.36	16	left	cor	0.77	1.54
387.721	0	obs	0.38	15	left	cor	0.67	3.34
397.2014	0	obs	0.4	16	right	cor	0.79	3.18
406.9006	0	obs	0.36	16	left	cor	0.77	2.34
415.9782	0	obs	0.3	15	left	err	0.28	1.02
425.1376	0	obs	0.26	16	left	cor	0.7	3
434.5776	0	obs	0.32	15	left	cor	0.82	1.24
443.8804	0	obs	0.3	15	right	cor	0.63	1.26
453.3944	0	obs	0.38	14	right	err	0.33	3.32
463.177	0	obs	0.32	17	left	err	0.23	1.52
