onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.3674	0	act	0.46	16	right	cor	0.56	2.46
14.2066	0	act	0.32	16	left	err	0.13	0.52
23.284	0	act	0.34	17	left	cor	0.88	3.76
32.7632	0	act	0.32	17	right	cor	0.62	3.24
42.7816	0	act	0.32	16	left	err	0.12	1.34
52.223	0	act	0.42	17	left	cor	0.81	1.62
61.2224	0	act	0.44	17	right	cor	0.63	2.06
70.8428	0	act	0.4	16	right	cor	0.8	1.2
80.4002	0	act-bad	0.6	16	left	err	-1	-0.02
89.4426	0	act	0.32	17	left	cor	0.85	0.5
98.5648	0	act	0.42	17	right	cor	0.67	1.34
108.0824	0	act	0.34	16	left	cor	0.74	3.48
121.3052	0	obs	0.42	17	left	cor	0.78	1.56
130.2988	0	obs	0.32	16	left	err	0.15	0.48
139.382	0	obs	0.46	16	right	cor	0.78	1.16
149.2212	0	obs	0.34	17	left	cor	0.66	0.66
158.6994	0	obs	0.4	16	right	cor	0.72	1.04
168.2638	0	obs	0.44	17	right	cor	0.79	2.38
177.8812	0	obs	0.32	17	left	cor	0.97	0.74
186.9986	0	obs	0.42	17	right	cor	0.7	1.4
196.521	0	obs-bad	0.6	16	left	err	0.28	3.02
205.5602	0	obs	0.32	17	right	cor	0.62	3.24
215.5806	0	obs	0.32	16	left	err	0.28	1.02
225.0202	0	obs	0.34	16	left	cor	0.76	3.52
238.2396	0	act	0.34	16	left	err	0.31	0.62
247.4998	0	act	0.32	17	right	err	0.31	1.42
257.379	0	act	0.4	18	right	cor	0.91	1.82
267.16	0	act	0.34	18	right	cor	0.92	0.64
276.819	0	act	0.42	17	left	cor	0.84	0.48
286.1994	0	act	0.28	17	left	err	0.48	0.56
295.5018	0	act	0.36	18	right	cor	0.77	3.54
305.2392	0	act	0.34	18	right	cor	0.8	3.2
314.935	0	act	0.38	17	left	cor	0.65	2.1
324.2778	0	act	0.34	17	left	err	0.27	1.04
333.4412	0	act	0.42	18	right	cor	0.63	2.86
343.3954	0	act	0.4	18	right	cor	0.68	1.42
357.3184	0	obs	0.4	18	right	cor	0.84	1.68
367.0956	0	obs	0.34	16	left	err	0.19	3.6
376.357	0	obs	0.42	18	right	cor	0.62	2.84
386.3174	0	obs	0.34	17	left	err	0.72	3.04
395.4748	0	obs	0.36	18	right	cor	0.5	4.98
405.2152	0	obs	0.32	17	right	err	0.35	4.08
415.0968	0	obs	0.42	17	left	cor	0.9	0.6
424.4802	0	obs	0.34	18	right	cor	0.86	0.52
434.1364	0	obs	0.28	17	left	err	0.31	2.96
443.4346	0	obs	0.34	18	right	cor	0.76	3.12
453.134	0	obs	0.38	17	left	cor	0.74	2.28
462.4796	0	obs	0.4	18	right	cor	0.84	0.48
