onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.362	0	act	0.42	14	right	cor	0.58	0.76
14.2016	0	act	0.4	14	left	cor	0.82	1.14
23.5824	0	act	0.38	13	left	cor	0.66	2.92
33.0218	0	act	0.36	13	left	cor	0.7	3.4
42.2408	0	act	0.44	12	right	cor	0.57	1.14
52.0164	0	act	0.42	12	right	cor	0.69	1.4
61.9412	0	act-bad	0.58	11	right	cor	0.78	1.22
71.5962	0	act	0.38	11	left	cor	0.43	2.72
80.9006	0	act	0.44	10	right	cor	0.52	0.94
90.9208	0	act	0.44	10	left	cor	0.42	1.94
100.0402	0	act	0.38	9	left	cor	0.6	1.2
109.0344	0	act	0.4	9	right	err	0.3	1.4
122.9206	0	obs	0.44	10	left	cor	0.51	1.76
132.0332	0	obs	0.38	9	left	cor	0.67	1.34
141.0394	0	obs	0.44	10	right	cor	0.65	3.3
151.0594	0	obs	0.42	12	right	cor	0.7	1.38
160.9748	0	obs	0.42	14	right	cor	0.8	1.2
170.8142	0	obs	0.36	13	left	cor	0.66	3.32
180.039	0	obs	0.38	13	left	cor	0.79	3.18
189.479	0	obs	0.4	9	right	err	0.24	1.28
199.3582	0	obs-bad	0.58	11	right	cor	0.7	4.2
209.0182	0	obs	0.4	14	left	cor	0.81	1.16
218.3982	0	obs	0.38	11	left	cor	0.53	0.66
227.6988	0	obs	0.44	12	right	cor	0.72	5.44
241.4776	0	act	0.38	10	left	cor	0.66	3.32
250.9518	0	act	0.42	10	left	cor	0.73	4.12
260.1176	0	act	0.44	9	right	err	0.38	3.22
269.637	0	act	0.38	10	left	cor	0.7	1.4
278.8976	0	act-bad	0.64	10	left	cor	0.21	1.22
287.9764	0	act	0.42	9	right	err	0.31	0.96
297.9368	0	act	0.46	10	right	cor	0.68	0.96
307.4964	0	act	0.4	10	right	err	0.16	1.26
317.1964	0	act	0.44	11	right	err	0.2	4.38
326.8164	0	act	0.44	12	left	err	0.16	1.12
336.1504	0	act	0.4	13	left	cor	0.82	1.24
345.196	0	act-bad	0.52	13	right	cor	0.22	1.54
358.9308	0	obs	0.42	9	right	err	0.31	0.96
368.8896	0	obs	0.42	10	left	cor	0.71	3.02
378.0558	0	obs	0.38	10	left	cor	0.79	1.58
387.3158	0	obs-bad	0.52	13	right	cor	0.04	1.9
397.0552	0	obs-bad	0.64	10	left	cor	0.17	1.14
406.1306	0	obs	0.46	10	right	cor	0.81	1.22
415.695	0	obs	0.44	12	left	err	0.19	1.18
425.0304	0	obs	0.44	11	right	err	0.3	1.4
434.652	0	obs	0.4	10	right	err	0.38	2.36
444.3544	0	obs	0.4	13	left	cor	0.76	1.12
453.394	0	obs	0.44	9	right	err	0.3	3.38
462.9108	0	obs	0.38	10	left	cor	0.75	3.5
