onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.9636	0	act	0.48	26	left	cor	0.9	3.4
13.4042	0	act	0.38	26	left	cor	0.89	1.78
22.6636	0	act	0.36	25	right	err	0.04	0.7
32.544	0	act	0.36	26	left	cor	0.91	3.42
41.7004	0	act-bad	0.78	26	right	err	0.05	3.88
51.2226	0	act	0.3	27	right	err	0.13	1.32
60.92	0	act	0.32	28	right	err	0.06	1.86
70.6626	0	act	0.34	29	left	cor	0.94	3.88
79.8826	0	act	0.42	29	left	cor	0.84	1.28
88.917	0	act	0.34	28	right	err	0.09	2.6
98.5824	0	act	0.32	29	right	err	0.05	1.48
108.5368	0	act	0.36	30	left	cor	0.94	0.68
121.6614	0	obs	0.42	29	left	cor	0.91	1.42
130.7018	0	obs	0.36	30	left	cor	0.91	0.62
139.8162	0	obs	0.3	27	right	err	0.07	1.44
149.5166	0	obs-bad	0.78	26	right	err	0.04	3.9
159.041	0	obs	0.36	26	left	cor	0.93	3.46
168.2012	0	obs	0.34	29	left	cor	0.9	3.8
177.421	0	obs	0.34	28	right	err	0.02	2.74
187.0762	0	obs	0.32	28	right	err	0.07	1.84
196.8206	0	obs	0.32	29	right	err	0.05	1.48
206.781	0	obs	0.36	25	right	err	0.09	0.6
216.6552	0	obs	0.38	26	left	cor	0.88	1.76
225.9158	0	obs	0.48	26	left	cor	0.89	3.38
239.3602	0	act	0.38	30	right	err	0.39	0.78
249.1394	0	act	0.42	31	left	cor	0.89	1.78
258.1398	0	act	0.42	31	right	err	0.12	2.54
268.0594	0	act	0.34	32	right	cor	0.93	1.46
277.6192	0	act	0.36	32	left	cor	1	4
287.0986	0	act-bad	0.64	31	right	cor	0	0.8
296.7184	0	act	0.32	31	left	cor	0.94	0.68
306.0988	0	act	0.36	30	left	cor	0.88	2.56
315.1778	0	act	0.46	30	right	cor	0.66	0.92
325.0182	0	act	0.32	29	left	cor	0.94	1.48
334.3176	0	act	0.38	29	left	cor	0.88	2.56
343.6582	0	act	0.36	28	right	err	0.08	1.82
357.6776	0	obs	0.38	29	left	cor	0.87	2.54
367.017	0	obs	0.42	31	right	err	0.01	2.76
376.9374	0	obs	0.34	32	right	cor	0.91	1.42
386.4922	0	obs	0.38	30	right	err	0.04	3.9
396.2774	0	obs	0.36	32	left	cor	0.92	3.84
405.7568	0	obs	0.36	30	left	cor	0.87	2.54
414.8368	0	obs	0.42	31	left	cor	0.92	1.84
423.8362	0	obs-bad	0.64	31	right	cor	0.9	2.6
433.4568	0	obs	0.32	31	left	cor	0.92	0.64
442.8362	0	obs	0.46	30	right	cor	0.85	1.3
452.6716	0	obs	0.32	29	left	cor	0.87	1.34
461.971	0	obs	0.36	28	right	err	0.09	1.8
