onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.8994	0	act	0.4	17	left	cor	0.79	1.2
13.2796	0	act	0.36	17	right	cor	0.66	1.32
22.7988	0	act	0.4	16	right	cor	0.69	1.4
32.4592	0	act	0.42	16	right	cor	0.85	1.3
42.0188	0	act	0.46	15	left	cor	0.71	1.02
51.0578	0	act	0.38	15	left	cor	0.79	1.18
60.3582	0	act-bad	0.78	14	right	err	0.52	3.74
69.9778	0	act	0.32	15	left	cor	0.84	3.68
79.198	0	act	0.32	15	left	err	0.21	1.16
88.3574	0	act	0.32	16	left	cor	0.59	2.78
97.798	0	act	0.4	16	right	cor	0.69	1.4
107.7152	0	act	0.28	15	left	cor	0.96	3.92
121.197	0	obs	0.38	15	left	cor	0.72	2.14
130.4974	0	obs	0.32	16	left	cor	0.58	2.76
139.933	0	obs	0.36	17	right	cor	0.72	1.44
149.4522	0	obs	0.4	17	left	cor	0.67	1.44
158.8366	0	obs	0.42	16	right	cor	0.74	1.08
168.397	0	obs	0.32	15	left	cor	0.57	0.84
177.614	0	obs-bad	0.78	14	right	err	0.54	1.88
187.2368	0	obs	0.46	15	left	cor	0.87	1.34
196.2736	0	obs	0.32	15	left	err	0.3	0.98
205.4364	0	obs	0.28	15	left	cor	0.67	0.64
214.9158	0	obs	0.4	16	right	cor	0.85	0.5
224.576	0	obs	0.4	16	right	cor	0.65	1.48
238.4956	0	act	0.4	15	left	cor	0.77	1.24
247.6148	0	act	0.44	15	right	cor	0.81	2.42
257.4952	0	act	0.34	14	left	cor	0.6	2
266.8348	0	act	0.36	14	left	err	0.24	1.28
275.9152	0	act	0.44	15	left	cor	0.7	1.4
285.1744	0	act	0.36	15	right	cor	0.77	3.54
295.1946	0	act	0.36	14	right	cor	0.57	2.74
305.1542	0	act	0.4	14	right	err	0.42	2.44
314.8506	0	act	0.34	15	right	cor	0.75	1.5
324.6342	0	act	0.34	15	right	cor	0.61	0.82
334.4668	0	act	0.34	14	left	err	0.3	0.6
343.4738	0	act	0.36	15	right	cor	0.65	3.3
357.2136	0	obs	0.34	14	left	cor	0.68	2.16
366.5504	0	obs	0.4	14	right	err	0.25	1.08
376.253	0	obs	0.34	14	left	err	0.1	3.78
385.2524	0	obs	0.36	15	right	cor	0.79	3.58
395.2728	0	obs	0.36	15	right	cor	0.94	3.88
405.01	0	obs	0.36	14	right	cor	0.66	2.92
414.973	0	obs	0.44	15	left	cor	0.82	1.64
424.232	0	obs	0.44	15	right	cor	0.52	1.84
434.1102	0	obs	0.36	14	left	err	0.11	0.56
443.192	0	obs	0.34	15	right	cor	0.32	2.94
453.031	0	obs	0.4	15	left	cor	0.72	1.34
462.1516	0	obs	0.34	15	right	cor	0.68	1.36
