filename	acq_time	operator	randstr
func/sub-17_ses-001_task-main_run-001_bold.nii.gz	2017-07-13T14:24:25	n/a	"TX`""'s!N"
func/sub-17_ses-001_task-main_run-002_bold.nii.gz	2017-07-13T14:35:45	n/a	RB8l!L)E
anat/sub-17_ses-001_run-001_T1w.nii.gz	2017-07-13T14:45:40	n/a	#`x^Smc}
func/sub-17_ses-001_task-main_run-003_bold.nii.gz	2017-07-13T14:51:25	n/a	:Xu6zR%r
func/sub-17_ses-001_task-main_run-004_bold.nii.gz	2017-07-13T15:02:05	n/a	yXC6F{A5
func/sub-17_ses-001_task-rest_run-001_bold.nii.gz	2017-07-13T15:06:20	n/a	z/-;[1K6
func/sub-17_ses-001_task-main_run-005_bold.nii.gz	2017-07-13T15:19:25	n/a	V&5OisJf
fmap/sub-17_ses-001_magnitude1.nii.gz	2017-07-13T15:22:34	n/a	m+ZtC10d
fmap/sub-17_ses-001_magnitude2.nii.gz	2017-07-13T15:22:34	n/a	N:p?M9Pi
fmap/sub-17_ses-001_magnitude.nii.gz	2017-07-13T15:22:35	n/a	bZN*P&FX
func/sub-17_ses-001_task-main_run-006_bold.nii.gz	2017-07-13T15:30:20	n/a	yU&HoQ/l
