onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.5664	0	act-bad	0.6	10	left	cor	0.17	3.24
12.608	0	act	0.42	10	left	err	0.41	2.42
21.7672	0	act	0.42	11	right	cor	0.91	1.42
31.328	0	act	0.42	11	right	cor	0.72	1.44
41.1038	0	act	0.44	10	right	cor	0.69	3.38
50.8444	0	act	0.44	10	right	err	0.52	3.74
60.727	0	act-bad	0.56	11	left	cor	0.02	2.74
69.8442	0	act	0.36	11	left	cor	0.92	1.84
78.8466	0	act	0.38	10	left	cor	0.96	3.92
88.327	0	act	0.36	10	right	err	0.11	4.56
97.9434	0	act	0.36	11	right	cor	0.88	3.36
107.9026	0	act	0.4	11	right	cor	0.68	4.16
121.5634	0	obs	0.42	10	left	err	0.14	1.3
130.7258	0	obs	0.42	11	right	cor	0.94	1.88
140.503	0	obs	0.42	11	right	cor	0.81	1.22
150.0626	0	obs-bad	0.56	11	left	cor	0.9	4.6
159.185	0	obs	0.36	11	left	cor	0.76	1.52
168.1852	0	obs-bad	0.36	10	right	err	-1	4.56
177.8014	0	obs	0.36	11	right	cor	0.27	5.04
187.762	0	obs	0.4	11	right	cor	0.9	0.6
197.4242	0	obs-bad	0.6	10	left	cor	0.22	3.14
206.4618	0	obs	0.44	10	right	err	0.21	1.22
216.3412	0	obs	0.38	10	left	cor	0.99	3.98
225.818	0	obs	0.44	10	right	cor	0.99	4.02
239.564	0	act	0.42	10	right	cor	0.9	0.6
249.4834	0	act	0.42	10	left	cor	0.98	0.84
258.8608	0	act	0.36	9	right	cor	0.78	1.56
268.3834	0	act	0.42	9	right	err	0.18	1.22
278.0834	0	act	0.44	10	right	cor	0.93	1.46
287.9198	0	act	0.4	10	left	cor	0.29	3.4
297.1834	0	act-bad	0.86	9	left	cor	0.12	4.54
306.2626	0	act-bad	0.54	9	right	cor	0.31	2.62
316.279	0	act	0.38	8	left	cor	0.97	1.54
325.5804	0	act	0.34	8	left	cor	0.87	2.54
334.9218	0	act	0.36	7	left	err	0.13	1.72
344.142	0	act	0.46	8	left	cor	0.73	3.06
357.5818	0	obs-bad	0.54	9	right	cor	0.83	3.66
367.5992	0	obs-bad	0.86	9	left	cor	0.63	2.06
376.6786	0	obs	0.42	10	right	cor	0.95	0.7
386.5972	0	obs	0.46	8	left	cor	0.4	2.4
396.0384	0	obs	0.44	10	right	cor	0.98	1.56
405.8756	0	obs	0.38	8	left	cor	0.63	0.86
415.1784	0	obs	0.34	8	left	cor	0.73	2.26
424.5206	0	obs	0.36	9	right	cor	0.42	3.14
434.041	0	obs	0.36	7	left	err	0.28	5.42
443.2572	0	obs-bad	0.42	10	left	cor	-1	0.84
452.6408	0	obs	0.4	10	left	cor	0.22	3.54
461.9002	0	obs	0.42	9	right	err	0.02	1.54
