onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.1422	0	act	0.46	6	right	cor	0.84	2.48
13.7614	0	act	0.42	6	left	cor	0.29	1.38
22.842	0	act	0.42	5	left	cor	0.9	1.4
31.881	0	act	0.44	5	right	err	0.46	2.52
41.8386	0	act	0.4	6	left	cor	0.86	2.52
51.1806	0	act-bad	0.66	6	left	cor	0.29	1.4
60.3986	0	act	0.36	5	right	cor	0.93	1.86
69.9206	0	act	0.32	5	right	err	0.21	1.16
79.621	0	act	0.34	6	right	cor	0.39	2
89.2778	0	act	0.46	6	left	cor	0.74	3.48
98.7608	0	act	0.4	5	left	err	0.52	2.54
108.0552	0	act	0.4	6	right	err	0.6	0.78
122.076	0	obs	0.34	6	right	cor	0.93	0.66
131.7372	0	obs	0.4	6	right	err	0.68	0.62
141.7596	0	obs	0.4	6	left	cor	0.66	3.46
151.0968	0	obs	0.46	6	left	cor	0.26	1.46
160.5766	0	obs-bad	0.66	6	left	cor	0.78	3.56
169.7956	0	obs	0.42	5	left	cor	0.92	1.44
178.8378	0	obs	0.46	6	right	cor	0.96	2.72
188.4556	0	obs	0.32	5	right	err	0.47	0.64
198.1592	0	obs	0.36	5	right	cor	0.58	1.16
207.6782	0	obs	0.42	6	left	cor	0.91	2.62
216.756	0	obs	0.44	5	right	err	0.32	0.94
226.7148	0	obs	0.4	5	left	err	0.06	3.46
240.0172	0	act	0.38	7	right	cor	0.86	3.72
249.7552	0	act	0.42	7	right	cor	0.68	2.16
259.6372	0	act	0.38	6	left	err	0.17	3.64
268.898	0	act	0.36	7	right	err	0.72	1.04
278.4538	0	act	0.44	8	left	err	0.2	1.18
287.8942	0	act-bad	0.72	9	right	cor	0.74	1.08
297.7366	0	act	0.46	9	left	cor	0.71	1.42
306.734	0	act	0.38	8	left	cor	1	0.8
316.1144	0	act	0.36	8	right	err	0.39	0.78
325.897	0	act	0.34	9	right	cor	0.89	0.58
335.8162	0	act	0.32	9	left	cor	0.95	3.5
344.9744	0	act	0.42	8	left	cor	0.37	2.04
358.0964	0	obs	0.32	9	left	cor	0.95	3.5
367.2526	0	obs	0.46	9	left	cor	0.95	1.9
376.2562	0	obs-bad	0.34	9	right	cor	-1	0.58
386.1752	0	obs-bad	0.72	9	right	cor	0.86	1.32
396.0156	0	obs	0.44	8	left	err	0.1	1.38
405.45	0	obs	0.36	7	right	err	0.49	0.58
415.0114	0	obs	0.38	6	left	err	0.09	3.8
424.2752	0	obs	0.38	8	left	cor	0.87	0.54
433.6542	0	obs	0.36	8	right	err	0.33	3.32
443.4316	0	obs	0.42	8	left	cor	0.95	0.7
452.549	0	obs	0.38	7	right	cor	0.69	0.6
462.2944	0	obs	0.42	7	right	cor	0.5	1.8
