onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.7482	0	act	0.3	14	left	cor	0.77	0.44
12.9654	0	act	0.32	14	left	err	0.64	1.28
21.9678	0	act	0.46	15	right	cor	0.85	2.5
31.8472	0	act	0.28	15	left	cor	0.58	0.42
41.2846	0	act	0.26	14	left	cor	0.61	1.22
50.5448	0	act	0.28	14	left	cor	0.84	2.48
59.8874	0	act	0.32	13	right	err	0.39	2
69.5478	0	act	0.42	14	left	cor	0.84	0.48
78.6622	0	act	0.26	14	left	cor	0.68	0.96
87.9666	0	act	0.3	13	right	err	0.17	0.44
97.5868	0	act	0.36	14	right	cor	0.42	0.74
107.2862	0	act	0.36	14	right	err	0.55	1.68
121.207	0	obs	0.46	15	right	cor	0.79	2.38
131.0842	0	obs	0.36	14	right	err	0.29	2.2
141.0028	0	obs	0.3	13	right	err	0.36	1.52
150.6262	0	obs	0.36	14	right	cor	0.9	3.4
160.3224	0	obs	0.42	14	left	cor	0.64	1.5
169.4408	0	obs	0.32	14	left	err	0.61	1.22
178.4452	0	obs	0.26	14	left	cor	0.58	0.76
187.7458	0	obs	0.32	13	right	err	0.39	2
197.4048	0	obs	0.28	15	left	cor	0.78	3.16
206.8454	0	obs	0.3	14	left	cor	0.74	0.5
216.0648	0	obs	0.28	14	left	cor	0.61	2.02
225.4052	0	obs	0.26	14	left	cor	0.67	1.34
238.6622	0	act	0.32	15	left	cor	0.78	2.36
247.7408	0	act-bad	0.58	15	right	cor	0.81	1.62
257.5212	0	act-bad	-0.02	14	right	err	-1	-0.02
267.0836	0	act	0.34	15	right	cor	0.77	0.44
277.104	0	act	0.36	15	left	cor	0.71	0.56
286.5834	0	act	0.36	14	left	cor	0.82	0.44
295.9626	0	act	0.32	14	right	cor	0.75	1.5
305.4832	0	act	0.32	13	left	cor	0.56	0.46
314.6372	0	act	0.46	13	right	err	0.52	0.54
324.603	0	act	0.3	14	right	cor	0.81	1.22
334.4422	0	act	0.32	14	right	err	0.51	0.96
344.1796	0	act	0.3	15	left	err	0.48	0.56
357.2226	0	obs	0.34	15	right	cor	0.73	0.52
367.2416	0	obs	0.32	13	left	cor	0.56	0.46
376.4022	0	obs	0.32	14	right	err	0.77	0.44
386.1398	0	obs	0.36	15	left	cor	0.75	0.48
395.6202	0	obs	0.3	14	right	cor	0.82	1.24
405.4596	0	obs-bad	0.58	15	right	cor	0.84	1.68
415.2416	0	obs	0.3	15	left	err	0.12	3.34
424.2812	0	obs	0.46	13	right	err	0.52	2.64
434.2416	0	obs-bad	0.52	14	right	cor	0.72	1.04
443.798	0	obs	0.32	15	left	cor	0.72	2.24
452.8784	0	obs	0.36	14	left	cor	0.64	1.5
462.2606	0	obs	0.32	14	right	cor	0.59	1.18
