onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.559	0	act	0.36	16	left	cor	0.62	0.84
12.5994	0	act	0.36	16	right	err	0.43	0.46
22.4406	0	act	0.3	17	left	err	0.33	0.66
31.441	0	act	0.3	18	left	cor	0.71	2.22
40.5182	0	act-bad	0.52	18	right	cor	0.81	1.62
50.0438	0	act	0.36	17	right	err	0.32	1.34
59.7782	0	act	0.34	18	right	cor	0.67	2.94
69.7374	0	act	0.34	18	left	cor	0.63	1.26
78.998	0	act	0.4	17	left	cor	0.72	0.54
88.2174	0	act	0.3	17	right	err	0.18	0.42
97.8376	0	act	0.3	18	right	cor	0.82	1.24
107.3972	0	act	0.4	18	right	cor	0.98	2.76
121.2768	0	obs	0.36	17	right	err	0.13	1.72
131.0222	0	obs	0.36	16	left	cor	0.79	1.18
140.0564	0	obs	0.34	18	left	cor	0.75	1.5
149.3168	0	obs	0.4	17	left	cor	0.74	0.5
158.5362	0	obs	0.3	18	left	cor	0.82	2.44
167.6166	0	obs	0.34	18	right	cor	0.58	0.42
177.576	0	obs-bad	0.52	18	right	cor	0.74	1.48
187.0966	0	obs	0.4	18	right	cor	0.78	2.36
196.9776	0	obs	0.36	16	right	err	0.28	3.02
206.8184	0	obs	0.3	17	left	err	0.23	0.46
215.8156	0	obs	0.3	18	right	cor	0.75	1.1
225.378	0	obs	0.3	17	right	err	0.19	0.4
238.9952	0	act	0.36	17	right	cor	0.67	1.34
248.7766	0	act	0.32	17	left	cor	0.77	1.14
258.075	0	act-bad	0.96	16	left	cor	0.56	0.46
267.5164	0	act	0.36	16	left	cor	0.82	0.44
276.8948	0	act	0.24	15	right	err	0.58	0.42
286.5942	0	act	0.36	16	right	cor	0.79	0.4
296.6136	0	act	0.28	16	right	err	0.28	2.22
306.534	0	act	0.44	17	left	cor	0.85	2.5
315.8732	0	act	0.38	17	left	cor	0.79	0.4
325.3538	0	act	0.26	16	left	cor	0.82	0.44
334.478	0	act	0.34	16	left	cor	0.58	0.42
343.6356	0	act	0.26	15	right	err	0.31	2.16
357.773	0	obs	0.32	17	left	cor	0.78	1.16
367.0746	0	obs	0.36	16	left	cor	0.84	0.48
376.453	0	obs-bad	0.96	16	left	cor	0.57	0.44
385.8922	0	obs	0.24	15	right	err	0.58	0.42
395.5926	0	obs	0.44	17	left	cor	0.71	2.22
404.9322	0	obs	0.34	16	left	cor	0.8	3.2
414.0924	0	obs	0.36	17	right	cor	0.73	1.46
423.8718	0	obs	0.26	16	left	cor	0.82	0.44
432.992	0	obs	0.28	16	right	err	0.24	2.3
442.9136	0	obs	0.26	15	right	err	0.24	2.3
452.577	0	obs	0.38	17	left	cor	0.74	0.5
462.0514	0	obs	0.36	16	right	cor	0.81	0.36
