onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.6386	0	act-bad	0.58	8	left	err	0.61	4.02
12.7602	0	act	0.36	9	left	cor	0.96	1.92
22.0212	0	act	0.34	9	left	err	0.34	1.3
31.5014	0	act	0.32	10	left	cor	0.91	1.42
40.798	0	act	0.38	10	right	cor	0.63	2.86
50.7604	0	act	0.34	9	right	cor	0.63	3.26
60.5008	0	act	0.36	9	right	cor	0.39	2
70.4152	0	act	0.36	8	right	err	0.25	1.3
80.0404	0	act	0.38	9	left	cor	0.94	0.68
89.4202	0	act	0.42	9	right	err	0.45	2.68
98.9804	0	act-bad	0.52	10	right	cor	0.58	3.16
108.9974	0	act	0.34	10	left	cor	0.97	3.54
122.1592	0	obs	0.38	10	right	cor	0.98	3.56
132.1196	0	obs	0.34	9	left	err	0.13	1.72
141.5992	0	obs	0.32	10	left	cor	0.91	1.42
150.8964	0	obs	0.36	9	right	cor	0.48	1.82
160.819	0	obs-bad	0.36	8	right	err	-1	1.3
170.4376	0	obs	0.34	10	left	cor	0.99	3.58
179.5958	0	obs-bad	0.52	10	right	cor	1	4
189.613	0	obs	0.34	9	right	cor	0.56	0.86
199.3558	0	obs	0.38	9	left	cor	0.89	0.58
208.7378	0	obs-bad	0.58	8	left	err	0.23	2.32
217.8582	0	obs	0.42	9	right	err	0.06	3.46
227.4126	0	obs	0.36	9	left	cor	0.88	1.76
240.678	0	act-bad	0.7	9	left	cor	0.62	3.24
249.8944	0	act	0.34	9	right	cor	0.91	1.82
259.4138	0	act	0.32	8	left	err	0.03	0.72
268.7542	0	act-bad	0.64	9	left	cor	0.67	2.94
278.1946	0	act	0.42	9	left	cor	0.91	1.42
287.2368	0	act	0.34	8	right	err	0.62	1.54
296.8932	0	act	0.42	9	right	err	0.03	0.72
306.7766	0	act	0.38	10	right	cor	0.54	2.68
316.4728	0	act	0.3	10	left	cor	0.95	1.9
325.474	0	act	0.42	9	right	err	0.54	0.68
335.3136	0	act	0.32	10	right	err	0.32	0.64
345.094	0	act	0.38	11	left	err	0.06	0.66
358.1728	0	obs	0.3	10	left	cor	0.94	1.88
367.1734	0	obs	0.38	10	right	cor	0.68	2.96
376.8758	0	obs	0.42	9	left	cor	0.94	1.48
385.915	0	obs-bad	0.42	9	right	err	-1	0.72
395.7914	0	obs-bad	0.7	9	left	cor	0.99	3.98
405.0114	0	obs-bad	0.64	9	left	cor	1	3.6
414.4528	0	obs	0.32	8	left	err	0.09	0.6
423.7948	0	obs	0.34	8	right	err	0.3	2.18
433.4518	0	obs	0.38	11	left	err	0.09	0.6
442.5312	0	obs	0.32	10	right	err	0.07	3.84
452.3118	0	obs	0.42	9	right	err	0.29	3
462.1518	0	obs	0.34	9	right	cor	0.44	0.88
