onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.2354	0	act	0.5	14	right	cor	0.99	3.58
13.9372	0	act	0.4	14	left	cor	0.65	2.9
23.3716	0	act	0.4	13	right	cor	0.72	2.24
32.9968	0	act	0.38	13	left	cor	0.71	2.22
42.3314	0	act-bad	0.54	12	right	cor	0.98	3.96
52.0728	0	act	0.28	12	left	cor	0.74	2.28
61.151	0	act	0.36	11	left	cor	0.98	3.56
70.3124	0	act	0.38	11	left	err	0.1	1.78
79.5294	0	act	0.36	12	left	cor	0.99	3.98
89.0088	0	act	0.36	12	left	cor	0.99	1.58
98.3092	0	act-bad	0.56	11	right	cor	0.49	1
108.3286	0	act	0.46	11	right	err	0.48	0.56
122.1746	0	obs	0.4	13	right	cor	0.82	2.44
131.79	0	obs	0.46	11	right	err	0.49	0.58
141.633	0	obs	0.28	12	left	cor	1	2.8
150.715	0	obs-bad	0.56	11	right	cor	0.98	3.96
160.734	0	obs	0.36	12	left	cor	0.97	3.94
170.2144	0	obs	0.38	11	left	err	0.79	3.58
179.4326	0	obs	0.4	14	left	cor	0.6	2.8
188.8678	0	obs	0.36	11	left	cor	0.69	2.98
198.0288	0	obs	0.38	13	left	cor	0.74	2.28
207.374	0	obs	0.5	14	right	cor	0.98	3.56
217.0684	0	obs-bad	0.54	12	right	cor	0.9	3.8
226.8078	0	obs	0.36	12	left	cor	0.99	1.62
240.113	0	act	0.42	12	left	cor	0.98	1.56
249.1442	0	act-bad	0.52	12	right	cor	0.94	1.48
258.7066	0	act	0.34	11	left	cor	0.96	0.72
268.0924	0	act	0.38	11	left	cor	0.98	0.76
277.2062	0	act	0.32	10	left	cor	0.86	1.72
286.2056	0	act	0.32	10	right	err	0.02	2.84
296.1306	0	act	0.38	11	right	cor	0.97	1.94
305.9086	0	act	0.4	11	left	cor	0.73	1.46
315.1662	0	act	0.4	10	right	cor	0.51	0.56
325.1252	0	act-bad	-0.02	10	right	err	0.49	1.78
335.0044	0	act	0.38	11	right	cor	1	0.8
344.6664	0	act	0.36	11	right	cor	0.5	1
358.191	0	obs	0.4	11	left	cor	0.48	0.96
367.4476	0	obs	0.38	11	right	cor	0.51	1.02
377.2308	0	obs	0.38	11	left	cor	1	0.8
386.3438	0	obs	0.36	11	right	cor	0.98	1.96
395.864	0	obs	0.34	11	left	cor	0.48	1.82
405.25	0	obs	0.32	10	right	err	0.46	1.86
415.1654	0	obs-bad	0.52	12	right	cor	0.77	2.04
424.7298	0	obs	0.42	12	left	cor	0.54	0.68
433.7636	0	obs	0.38	11	right	cor	0.77	4.34
443.4276	0	obs	0.32	10	left	cor	0.96	1.92
452.428	0	obs	0.4	10	right	cor	0.5	0.58
462.3842	0	obs-bad	0.52	10	right	cor	0.5	1.8
