onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.6928	0	act	0.44	7	left	cor	0.99	3.62
12.8512	0	act	0.32	7	right	err	0.23	3.12
22.4126	0	act	0.4	8	left	cor	0.99	4.78
31.7928	0	act	0.42	8	right	err	0.48	3.82
41.6754	0	act	0.34	9	right	err	0.53	2.52
51.5158	0	act	0.38	10	right	err	0.46	1.72
61.13	0	act	0.32	11	left	cor	1	5.6
70.4306	0	act	0.4	11	right	err	0.27	2.54
80.452	0	act	0.44	12	right	err	0.04	1.5
90.1494	0	act	0.48	13	left	cor	1	4
99.632	0	act	0.34	13	left	cor	0.88	2.56
108.711	0	act	0.44	12	right	err	0.48	0.96
122.4916	0	obs	0.34	13	left	cor	1	2.8
131.5712	0	obs	0.4	11	right	err	0.03	1.92
141.5906	0	obs	0.48	13	left	cor	0.47	1.04
151.0708	0	obs	0.44	7	left	cor	0.43	0.72
160.2304	0	obs	0.44	12	right	err	0.72	2.54
170.0104	0	obs	0.32	7	right	err	0.63	2.32
179.5682	0	obs	0.42	8	right	err	0.25	1.3
189.4504	0	obs	0.38	10	right	err	0.49	1.78
199.07	0	obs	0.44	12	right	err	0.51	2.62
208.7682	0	obs	0.34	9	right	err	0.52	2.54
218.6096	0	obs	0.32	11	left	cor	0.82	1.24
227.9098	0	obs	0.4	8	left	cor	0.89	0.58
241.2874	0	act-bad	0.56	13	left	err	0.08	0.62
250.6268	0	act	0.36	14	left	cor	0.68	2.96
260.0692	0	act	0.32	14	right	err	0.19	2.4
269.9916	0	act	0.46	15	left	cor	0.18	2.42
279.109	0	act-bad	0.56	15	right	cor	0.96	1.92
288.6284	0	act	0.44	14	left	cor	0.5	4.6
297.6666	0	act	0.44	14	left	cor	0.82	1.64
306.9262	0	act	0.4	13	left	cor	0.65	0.68
316.1454	0	act	0.38	13	right	err	0.01	1.56
326.1058	0	act	0.38	14	right	err	0.5	0.98
335.8472	0	act-bad	0.52	15	right	cor	0.29	3.38
345.508	0	act	0.5	15	left	cor	0.81	2.36
358.5102	0	obs	0.38	14	right	err	0.17	5.64
368.2476	0	obs	0.44	14	left	cor	0.92	1.84
377.505	0	obs	0.32	14	right	err	0.17	2.44
387.4244	0	obs	0.5	15	left	cor	0.78	5.56
396.4246	0	obs	0.36	14	left	cor	0.96	3.52
405.8642	0	obs	0.38	13	right	err	0.03	1.66
415.8258	0	obs	0.4	13	left	cor	1	4
425.0438	0	obs	0.46	15	left	cor	0.99	0.78
434.1642	0	obs-bad	0.52	15	right	cor	0.99	0.82
443.8256	0	obs	0.44	14	left	cor	0.96	1.52
452.8638	0	obs-bad	0.56	15	right	cor	0.98	1.96
462.3884	0	obs-bad	0.56	13	left	err	0.05	0.68
