onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.0026	0	act	0.38	26	left	cor	0.73	3.46
13.4798	0	act	0.34	26	left	cor	0.7	2.2
22.5594	0	act	0.36	25	left	cor	0.6	1.2
31.8194	0	act	0.46	25	right	cor	0.73	1.06
41.659	0	act-bad	0.52	24	right	cor	0.45	1.7
51.5394	0	act	0.32	24	left	cor	0.67	0.94
60.8388	0	act	0.36	23	right	cor	0.76	2.46
70.3622	0	act	0.28	23	right	err	0.11	1.36
80.0564	0	act	0.36	24	left	cor	0.64	1.5
89.4358	0	act	0.5	24	right	cor	0.54	2.5
98.9962	0	act	0.4	23	right	cor	0.61	1.22
108.7756	0	act	0.34	23	left	cor	0.61	2.36
121.8212	0	obs	0.4	23	right	cor	0.7	2.58
131.5958	0	obs	0.5	24	right	cor	0.8	1.98
141.155	0	obs	0.36	23	right	cor	0.78	2.42
150.6754	0	obs-bad	0.52	24	right	cor	0.63	2.06
160.555	0	obs	0.36	24	left	cor	0.6	1.58
169.9372	0	obs	0.32	24	left	cor	0.92	5.44
179.2346	0	obs	0.36	25	left	cor	0.83	1.66
188.497	0	obs	0.34	23	left	cor	0.73	1.06
197.5364	0	obs	0.38	26	left	cor	0.54	0.9
207.0166	0	obs	0.46	25	right	cor	0.67	0.94
216.8558	0	obs	0.28	23	right	err	0.17	1.24
226.5562	0	obs	0.34	26	left	cor	0.79	2.38
239.6338	0	act	0.44	22	right	cor	0.58	3.16
249.3752	0	act	0.36	22	right	cor	0.71	1.36
259.2988	0	act	0.48	21	left	cor	0.78	3.16
268.455	0	act-bad	0.58	21	right	cor	0.47	1.04
278.4754	0	act	0.46	20	right	cor	0.78	4.02
288.426	0	act-bad	0.36	20	right	err	-1	-0.02
298.5922	0	act-bad	-0.02	21	left	err	-1	-0.02
308.0348	0	act-bad	-0.02	22	right	err	-1	-0.02
317.654	0	act-bad	-0.02	23	left	err	0.78	5.56
326.6544	0	act-bad	0.62	24	left	cor	-1	-0.02
335.8736	0	act-bad	-0.02	24	left	err	-1	-0.02
344.994	0	act-bad	-0.02	25	left	err	0.73	2.26
358.3318	0	obs-bad	0.52	25	left	cor	0.91	2.62
367.674	0	act-bad	0	0	left	cor	0	0
