onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.7484	0	act	0.44	7	left	err	0.61	3.22
12.9688	0	act-bad	0.56	8	left	cor	0.48	3.02
21.9682	0	act-bad	0.64	8	left	cor	0.6	0.78
31.4486	0	act	0.46	7	left	err	0.17	4.44
40.5276	0	act	0.38	8	left	cor	0.47	1.74
49.8662	0	act	0.48	8	left	err	0.53	1.72
58.9906	0	act	0.48	9	left	cor	0.7	3
68.1496	0	act-bad	0.52	9	right	cor	0.71	1.36
77.8074	0	act	0.44	8	right	cor	0.66	0.92
87.6486	0	act	0.34	8	right	cor	0.54	1.7
97.565	0	act-bad	0.58	7	right	cor	0.4	3.18
107.3462	0	act	0.3	7	right	err	0.1	0.58
121.2252	0	obs	0.44	7	left	err	0.54	0.9
130.4464	0	obs	0.34	8	right	cor	0.52	1.74
140.366	0	obs	0.44	8	right	cor	0.68	0.96
150.2092	0	obs-bad	0.64	8	left	cor	0.64	0.7
159.6858	0	obs	0.38	8	left	cor	0.49	1.78
169.026	0	obs	0.48	8	left	err	0.35	2.08
178.1456	0	obs	0.48	9	left	cor	0.71	3.02
187.3058	0	obs-bad	0.52	9	right	cor	0.5	1.78
196.9652	0	obs	0.46	7	left	err	0.42	1.64
206.0486	0	obs	0.3	7	right	err	0.5	1.8
215.925	0	obs-bad	0.56	8	left	cor	0.66	1.32
224.9234	0	obs-bad	0.58	7	right	cor	0.57	1.14
238.7048	0	act	0.36	8	right	cor	0.62	2.84
248.4042	0	act-bad	0.54	8	right	cor	0.48	1.02
258.421	0	act-bad	0.58	7	right	cor	0.73	3.06
268.3838	0	act-bad	0.52	7	left	cor	0.87	1.74
277.6442	0	act-bad	0.52	6	left	err	0.51	2.56
286.9436	0	act	0.34	7	left	cor	0.66	1.46
296.324	0	act	0.44	7	right	cor	0.47	1.74
305.9464	0	act-bad	0.58	6	right	err	0.21	3.16
315.5028	0	act	0.36	7	left	err	0.5	2.58
324.5412	0	act	0.48	8	left	cor	0.71	3.02
333.9824	0	act	0.42	8	right	cor	0.4	0.8
343.5008	0	act	0.48	7	right	cor	0.48	1.02
357.2426	0	obs	0.42	8	right	cor	0.61	1.22
366.762	0	obs	0.48	8	left	cor	0.81	3.22
376.2052	0	obs-bad	0.52	6	left	err	0.33	2.92
385.5016	0	obs-bad	0.58	7	right	cor	0.55	2.7
395.46	0	obs	0.34	7	left	cor	0.75	1.28
404.8394	0	obs-bad	0.52	7	left	cor	0.43	0.86
414.0984	0	obs	0.36	8	right	cor	0.54	2.68
423.804	0	obs-bad	0.58	6	right	err	0.26	3.06
433.3596	0	obs-bad	0.54	8	right	cor	0.58	3.16
443.379	0	obs	0.36	7	left	err	0.52	2.54
452.4178	0	obs	0.48	7	right	cor	0.63	3.26
462.164	0	obs	0.44	7	right	cor	0.61	2.02
