onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.55919999999998	0	act-bad	0.62	12	left	cor	0.55	2.48
12.5974	0	act	0.38	12	left	cor	0.65	0.9
21.8998	0	act	0.5	11	left	cor	0.76	1.26
31.0202	0	act	0.5	11	right	cor	0.77	3.54
41.0366	0	act	0.42	10	right	err	0.34	0.68
50.5598	0	act	0.46	11	left	err	0.19	5.6
59.7744	0	act-bad	0.54	12	right	cor	0.37	1.54
69.6536	0	act	0.38	12	left	cor	0.78	3.56
79.1362	0	act	0.44	11	left	cor	0.88	2.56
88.4736	0	act-bad	0.66	11	right	cor	0.7	4.2
98.1326	0	act-bad	0.58	10	right	cor	0.71	3.02
107.8354	0	act	0.34	10	right	err	0.15	3.68
121.6182	0	obs-bad	0.58	10	right	cor	0.77	3.14
131.3184	0	obs	0.5	11	left	cor	0.92	0.64
140.4378	0	obs	0.38	12	left	cor	0.76	3.52
149.9132	0	obs	0.38	12	left	cor	0.67	0.94
159.2146	0	obs	0.5	11	right	cor	0.81	3.62
169.235	0	obs-bad	0.62	12	left	cor	0.85	1.3
178.2708	0	obs	0.46	11	left	err	0.15	1.68
187.4928	0	obs	0.44	11	left	cor	0.84	2.48
196.837	0	obs-bad	0.66	11	right	cor	0.75	1.28
206.4944	0	obs-bad	0.54	12	right	cor	0.37	1.54
216.3738	0	obs	0.42	10	right	err	0.49	0.98
225.8962	0	obs	0.34	10	right	err	0.26	3.46
239.6716	0	act	0.38	11	left	cor	0.64	2.08
248.756	0	act-bad	0.52	11	left	cor	0.84	1.1
258.1356	0	act	0.34	10	right	err	0.14	0.5
267.7494	0	act	0.48	11	right	cor	0.79	3.18
277.7096	0	act-bad	0.52	11	right	cor	0.7	3.4
287.4506	0	act	0.34	10	right	err	0.31	2.16
297.374	0	act	0.32	11	left	err	0.23	1.12
306.5352	0	act	0.48	12	left	cor	0.7	3
315.9718	0	act	0.38	12	right	err	0.29	3
325.5352	0	act	0.3	13	right	cor	0.82	1.24
335.3716	0	act	0.38	13	left	cor	0.78	1.56
344.6318	0	act-bad	0.54	12	left	cor	0.82	1.64
357.6294	0	obs	0.3	13	right	cor	0.79	1.18
367.4738	0	obs-bad	0.54	12	left	cor	0.75	1.5
376.468	0	obs-bad	0.52	11	right	cor	0.59	0.8
386.2086	0	obs	0.38	11	left	cor	0.83	2.46
395.293	0	obs	0.34	10	right	err	0.26	2.26
405.2104	0	obs	0.32	11	left	err	0.2	1.18
414.3688	0	obs-bad	0.52	11	left	cor	0.85	0.5
423.7532	0	obs	0.38	13	left	cor	0.82	1.64
433.0086	0	obs	0.38	12	right	err	0.43	0.46
442.568	0	obs	0.48	12	left	cor	0.72	3.04
452.0132	0	obs	0.34	10	right	err	0.24	1.28
461.6262	0	obs	0.48	11	right	cor	0.79	3.18
