onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.0112	0	act	0.4	11	left	err	0.34	1.3
13.4906	0	act	0.38	12	right	err	0.59	1.6
23.1474	0	act	0.36	13	right	cor	0.68	1.42
33.0734	0	act	0.34	13	right	cor	0.76	3.12
43.0328	0	act	0.38	12	right	cor	0.74	3.08
52.7302	0	act	0.4	12	right	cor	0.59	1.98
62.3524	0	act	0.36	11	right	cor	0.81	1.22
72.193	0	act	0.38	11	right	cor	0.77	1.14
81.751	0	act	0.34	10	left	err	0.38	2.82
91.0528	0	act	0.36	11	left	err	0.42	1.64
100.392	0	act	0.38	12	right	cor	0.41	0.82
110.1694	0	act	0.3	12	right	err	0.32	1.34
123.9122	0	obs	0.36	13	right	cor	0.34	2.1
133.8316	0	obs	0.4	12	right	cor	0.7	2.2
143.449	0	obs	0.38	12	right	cor	0.75	1.5
153.2314	0	obs	0.38	12	right	cor	0.6	2.8
162.9316	0	obs	0.34	13	right	cor	0.58	2.76
172.888	0	obs	0.4	11	left	err	0.37	1.24
182.3682	0	obs	0.36	11	right	cor	0.69	0.98
192.2076	0	obs	0.3	12	right	err	0.33	1.32
201.9502	0	obs	0.38	11	right	cor	0.41	2.76
211.5106	0	obs	0.36	11	left	err	0.29	1.38
220.847	0	obs	0.38	12	right	err	0.23	2.32
230.5074	0	obs	0.34	10	left	err	0.34	2.9
243.8098	0	act-bad	0.64	13	left	cor	-1	-0.02
252.8462	0	act	0.42	13	left	err	0.36	1.52
261.9264	0	act	0.38	14	right	cor	0.65	0.68
271.946	0	act	0.46	14	right	cor	0.82	2.44
281.8262	0	act	0.4	13	right	cor	0.86	1.72
291.3486	0	act	0.4	13	left	cor	0.74	1.48
300.606	0	act	0.42	12	left	err	0.54	2.68
310.0472	0	act	0.42	13	left	cor	0.65	3.3
319.2658	0	act	0.34	13	left	err	0.59	1.6
328.3852	0	act	0.34	14	left	err	0.46	3.72
337.7656	0	act	0.38	15	left	err	0.27	2.14
346.9248	0	act	0.4	16	left	cor	0.75	1.5
359.9242	0	obs	0.4	13	left	cor	0.76	1.52
369.1848	0	obs	0.38	15	left	err	0.25	2.1
378.344	0	obs	0.42	13	left	cor	0.55	3.1
387.5646	0	obs-bad	0.64	13	left	cor	0.56	2.46
396.607	0	obs	0.46	14	right	cor	0.75	2.3
406.4844	0	obs	0.38	14	right	cor	0.87	3.74
416.5038	0	obs	0.4	13	right	cor	0.92	1.84
426.0248	0	obs	0.34	13	left	err	0.4	1.98
435.1468	0	obs	0.42	12	left	err	0.37	0.84
444.586	0	obs	0.34	14	left	err	0.29	2.2
453.9664	0	obs	0.42	13	left	err	0.36	1.52
463.0426	0	obs	0.4	16	left	cor	0.73	1.46
