onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.2574	0	act	0.48	16	right	cor	0.87	3.74
13.9968	0	act-bad	0.54	16	right	cor	-1	-0.02
23.9544	0	act	0.34	15	left	err	0.34	0.68
32.9564	0	act	0.32	16	left	err	0.28	1.02
42.1128	0	act	0.32	17	right	cor	0.66	1.32
51.6364	0	act	0.36	17	left	cor	0.74	1.48
60.8928	0	act	0.28	16	left	err	0.29	3
70.193	0	act	0.38	17	right	cor	0.73	0.52
80.2148	0	act	0.38	17	left	err	0.57	0.84
89.4334	0	act	0.32	18	left	err	0.29	1
98.8742	0	act	0.38	19	left	cor	0.79	3.58
108.3526	0	act	0.44	19	right	cor	0.9	1.8
122.1322	0	obs	0.34	15	left	err	0.36	0.72
131.1316	0	obs	0.32	17	right	cor	0.89	1.78
140.6548	0	obs	0.44	19	right	cor	0.89	1.78
150.4344	0	obs	0.28	16	left	err	0.35	2.88
159.7314	0	obs	0.38	19	left	cor	0.65	0.68
169.214	0	obs	0.38	17	left	err	0.42	1.14
178.4314	0	obs	0.38	17	right	cor	0.8	3.6
188.4508	0	obs	0.32	16	left	err	0.49	2.58
197.6092	0	obs	0.36	17	left	cor	0.66	1.32
206.8726	0	obs-bad	0.54	16	right	cor	0.78	3.16
216.8322	0	obs	0.48	16	right	cor	0.87	3.74
226.5706	0	obs	0.32	18	left	err	0.27	1.04
240.0126	0	act	0.38	18	right	cor	0.71	3.02
249.71	0	act	0.34	18	left	cor	0.79	2.38
258.7896	0	act	0.42	17	left	cor	0.79	2.38
268.1298	0	act	0.32	17	left	cor	0.88	1.36
277.1722	0	act	0.46	16	left	cor	0.88	0.56
286.5526	0	act-bad	0.62	16	right	err	-1	-0.02
296.169	0	act	0.34	17	right	err	0.12	0.54
306.0484	0	act	0.32	18	right	cor	0.87	0.54
315.7088	0	act	0.32	18	right	err	0.32	2.94
325.548	0	act	0.38	19	left	err	0.32	2.14
334.6714	0	act	0.44	20	right	cor	0.81	1.22
344.2278	0	act	0.4	20	right	cor	0.66	1.46
358.1474	0	obs	0.38	19	left	err	0.28	2.22
367.271	0	obs	0.32	18	right	cor	0.39	3.58
376.9304	0	obs	0.38	18	right	cor	0.79	3.18
386.6306	0	obs	0.46	16	left	cor	0.85	0.5
396.01	0	obs	0.44	20	right	cor	0.74	1.08
405.563	0	obs	0.34	17	right	err	0.46	1.72
415.4432	0	obs	0.32	17	left	cor	0.7	1
424.4872	0	obs-bad	0.62	16	right	err	0.4	3.98
434.1098	0	obs	0.42	17	left	cor	0.76	2.32
443.4448	0	obs	0.4	20	right	cor	0.72	4.24
453.3664	0	obs	0.34	18	left	cor	0.78	2.36
462.4488	0	obs	0.32	18	right	err	0.33	4.26
