onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.9038	0	act	0.4	17	left	cor	0.87	0.54
13.2842	0	act	0.36	17	right	cor	0.85	3.7
23.3036	0	act	0.42	16	left	cor	0.79	3.18
32.464	0	act	0.4	16	right	err	0.29	1
42.1634	0	act	0.42	17	right	cor	0.81	3.62
51.9028	0	act	0.36	17	right	err	0.21	3.56
61.421	0	act	0.32	18	left	err	0.35	1.28
70.9026	0	act	0.34	19	left	cor	0.82	1.64
79.9058	0	act	0.32	19	left	cor	0.92	1.44
88.9438	0	act	0.34	18	right	err	0.4	1.98
98.6026	0	act	0.34	19	right	cor	0.62	1.54
108.5218	0	act	0.3	19	left	cor	0.75	3.1
121.9616	0	obs	0.3	19	left	cor	0.78	3.16
131.4022	0	obs	0.42	16	left	cor	0.74	3.08
140.5592	0	obs	0.4	17	left	cor	0.86	0.52
149.9418	0	obs	0.32	19	left	cor	0.55	0.7
158.9812	0	obs	0.4	16	right	err	0.27	1.04
168.6816	0	obs	0.32	18	left	err	0.41	1.16
178.1624	0	obs	0.42	17	right	cor	0.63	0.72
187.9044	0	obs	0.34	19	left	cor	0.74	1.48
196.8986	0	obs	0.34	19	right	cor	0.56	1.66
206.819	0	obs	0.34	18	right	err	0.59	1.6
216.4804	0	obs	0.36	17	right	err	0.36	3.26
225.9998	0	obs	0.36	17	right	cor	0.62	0.74
240.0202	0	act	0.36	18	right	err	0.38	0.76
249.7996	0	act	0.48	19	left	err	0.5	1.8
259.1428	0	act	0.36	20	right	cor	0.83	2.46
268.7594	0	act	0.34	20	left	cor	0.88	0.56
277.8786	0	act	0.38	19	left	cor	0.76	2.32
286.959	0	act	0.34	19	left	cor	0.72	0.54
296.18	0	act	0.28	18	right	err	0.28	1.02
306.1388	0	act	0.44	19	right	cor	0.75	1.1
315.6982	0	act	0.38	19	right	cor	0.86	2.52
325.5766	0	act	0.4	18	right	cor	0.89	1.38
335.418	0	act	0.48	18	left	cor	0.84	1.68
344.6782	0	act	0.38	17	left	err	0.34	2.9
357.978	0	obs	0.34	20	left	cor	0.86	0.52
367.0972	0	obs	0.38	19	left	cor	0.81	2.42
376.1778	0	obs	0.48	18	left	cor	0.78	1.56
385.4352	0	obs	0.34	19	left	cor	0.74	0.5
394.6554	0	obs	0.28	18	right	err	0.34	2.28
404.6168	0	obs	0.48	19	left	err	0.15	0.48
413.957	0	obs	0.38	19	right	cor	0.24	1.28
423.8368	0	obs	0.44	19	right	cor	0.81	1.22
433.397	0	obs	0.4	18	right	cor	0.83	1.26
443.2376	0	obs	0.36	20	right	cor	0.65	2.1
452.8588	0	obs	0.38	17	left	err	0.28	3.02
462.1562	0	obs	0.36	18	right	err	0.19	3.6
