onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.3048	0	act-bad	0.52	6	right	err	0.6	1.2
14.0872	0	act	0.44	7	right	err	0.68	2.16
23.9624	0	act-bad	0.72	8	right	cor	0.49	2.6
33.804	0	act	0.42	8	right	err	0.49	0.6
43.7624	0	act-bad	0.52	9	left	cor	0.75	2.3
52.8416	0	act-bad	0.54	9	left	err	0.3	1.38
62.323	0	act	0.46	10	left	cor	0.91	1.42
71.3614	0	act	0.42	10	left	cor	0.89	3.78
80.5858	0	act	0.38	9	right	cor	0.72	1.34
90.243	0	act	0.46	9	right	err	0.17	1.14
99.8626	0	act	0.38	10	left	cor	0.67	2.94
109.023	0	act	0.38	10	left	err	0.35	0.7
122.2806	0	obs	0.42	10	left	cor	0.89	3.78
131.5028	0	obs	0.38	10	left	err	0.2	3.58
140.7602	0	obs-bad	0.52	6	right	err	0.48	0.96
150.5396	0	obs-bad	0.52	9	left	cor	0.66	2.12
159.62	0	obs	0.46	10	left	cor	0.91	1.42
168.6594	0	obs	0.44	7	right	err	0.53	1.86
178.5398	0	obs	0.38	10	left	cor	1	3.6
187.6992	0	obs-bad	0.54	9	left	err	0.51	0.96
197.1796	0	obs-bad	0.72	8	right	cor	0.52	0.64
207.019	0	obs	0.38	9	right	cor	0.75	1.28
216.6792	0	obs	0.42	8	right	err	0.52	0.54
226.6386	0	obs	0.46	9	right	err	0.25	1.3
240.2582	0	act-bad	0.74	11	right	cor	0.86	3.72
250.2806	0	act	0.4	11	left	cor	0.82	0.44
259.3978	0	act-bad	0.52	10	left	cor	0.85	4.5
268.7804	0	act	0.44	10	right	cor	0.8	4.4
278.7	0	act	0.36	9	right	err	0.49	0.98
288.22	0	act-bad	0.52	10	right	cor	0.83	1.26
297.7796	0	act-bad	0.6	10	left	cor	0.75	1.1
307.082	0	act	0.3	9	left	err	0.29	0.58
316.0774	0	act	0.38	10	left	cor	0.39	1.58
325.4164	0	act	0.36	10	right	err	0.07	1.84
335.1592	0	act	0.42	11	right	cor	0.97	3.54
344.8564	0	act	0.38	11	left	cor	0.82	3.24
358.2972	0	obs	0.38	11	left	cor	0.98	3.56
367.7364	0	obs-bad	0.52	10	right	cor	0.8	1.2
377.2958	0	obs-bad	0.6	10	left	cor	0.51	2.56
386.5982	0	obs	0.36	9	right	err	0.33	0.66
396.1174	0	obs	0.36	10	right	err	0.1	1.78
405.8578	0	obs	0.44	10	right	cor	0.77	1.24
415.7752	0	obs	0.38	10	left	cor	0.51	1.82
425.1142	0	obs	0.42	11	right	cor	0.94	3.48
434.8152	0	obs-bad	0.74	11	right	cor	0.89	3.78
444.8358	0	obs	0.3	9	left	err	0.11	3.76
453.8368	0	obs-bad	0.52	10	left	cor	0.99	0.78
463.2174	0	obs	0.4	11	left	cor	0.99	0.82
