onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.5182	0	act-bad	0.52	5	left	cor	0.89	1.78
12.5186	0	act	0.46	5	right	err	0.27	2.24
22.1782	0	act	0.3	6	right	cor	0.79	3.58
31.9134	0	act	0.26	6	left	cor	0.73	3.46
41.393	0	act	0.26	5	left	cor	0.91	4.62
50.7766	0	act	0.32	5	left	cor	0.79	2.38
60.1126	0	act	0.44	4	left	err	0.2	4.38
69.192	0	act-bad	0.86	5	left	cor	1	0.8
78.3122	0	act	0.34	5	right	err	0.12	1.34
88.0166	0	act	0.32	6	right	err	0.33	0.66
97.7942	0	act	0.36	7	right	err	0.49	1.8
107.7134	0	act	0.4	8	right	err	0.5	3.78
121.3362	0	obs	0.44	4	left	err	0.33	4.12
130.4166	0	obs	0.36	7	right	err	0	2.8
140.3362	0	obs	0.34	5	right	err	0.24	1.1
150.0334	0	obs	0.4	8	right	err	0.12	4.54
159.6528	0	obs	0.26	6	left	cor	0.97	3.94
169.133	0	obs	0.3	6	right	cor	0.78	3.56
178.8706	0	obs-bad	0.86	5	left	cor	0.48	1.82
187.9956	0	obs	0.46	5	right	err	0.71	1.36
197.6552	0	obs	0.32	5	left	cor	0.83	2.46
206.9958	0	obs	0.32	6	right	err	0.21	3.56
216.77	0	obs	0.26	5	left	cor	0.73	1.32
226.1538	0	obs-bad	0.52	5	left	cor	0.81	1.62
239.1496	0	act	0.5	9	left	cor	0.85	1.3
248.4542	0	act	0.4	9	right	cor	0.83	2.46
258.3296	0	act	0.42	8	left	err	0.17	1.24
267.7676	0	act	0.4	9	left	err	0.03	3.92
277.0334	0	act-bad	0.56	10	right	err	0.46	0.92
286.5536	0	act	0.42	11	left	err	0.05	3.48
295.593	0	act	0.38	12	right	err	0.06	3.46
305.1506	0	act	0.38	13	right	cor	0.99	3.98
315.1696	0	act	0.34	13	left	cor	0.97	3.54
324.3302	0	act-bad	0.52	12	right	cor	0.87	1.34
334.1726	0	act	0.32	12	left	cor	0.92	3.84
343.3898	0	act	0.42	11	right	cor	0.89	3.38
357.3478	0	obs	0.38	13	right	cor	0.93	3.86
367.3692	0	obs	0.4	9	left	err	0.4	0.8
376.6276	0	obs	0.5	9	left	cor	0.52	0.64
385.9312	0	obs	0.34	13	left	cor	0.65	2.9
395.0856	0	obs-bad	0.52	12	right	cor	0.68	0.96
404.9264	0	obs	0.32	12	left	cor	0.83	3.66
414.1454	0	obs-bad	0.56	10	right	err	0.46	0.92
423.6684	0	obs	0.42	11	right	cor	0.95	3.5
433.6286	0	obs	0.4	9	right	cor	0.87	2.54
443.506	0	obs	0.42	8	left	err	0.23	1.12
452.9458	0	obs	0.38	12	right	err	0.24	3.1
462.5044	0	obs	0.42	11	left	err	0.01	3.62
