onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.6734	0	act	0.42	12	left	cor	0.79	3.18
12.8338	0	act-bad	0.56	12	left	cor	0.86	1.32
22.1312	0	act	0.36	11	right	cor	0.92	3.44
32.0966	0	act	0.32	11	right	err	0.03	1.92
42.1132	0	act	0.42	12	left	cor	0.83	1.66
51.3764	0	act	0.4	12	left	cor	0.9	0.6
60.7508	0	act	0.3	11	right	cor	0.93	3.46
70.45	0	act-bad	0.62	11	right	cor	0.94	0.68
80.3704	0	act	0.38	10	left	err	0.05	0.68
89.7098	0	act-bad	0.62	11	right	cor	0.94	2.68
99.5922	0	act	0.46	11	left	err	0.91	3.82
108.8118	0	act	0.46	12	right	cor	0.88	1.76
122.3322	0	obs	0.32	11	right	err	0.27	1.44
132.3516	0	obs-bad	0.56	12	left	cor	1	1.6
141.6512	0	obs	0.42	12	left	cor	0.93	1.86
150.9116	0	obs	0.46	12	right	cor	0.96	1.92
160.431	0	obs	0.3	11	right	cor	0.94	3.48
170.1314	0	obs	0.42	12	left	cor	0.91	3.42
179.2886	0	obs	0.46	11	left	err	0.04	1.9
188.511	0	obs	0.36	11	right	cor	1	3.6
198.4704	0	obs-bad	0.38	10	left	err	-1	0.68
207.8104	0	obs-bad	0.62	11	right	cor	0.91	2.62
217.6882	0	obs	0.4	12	left	cor	0.87	0.54
227.0684	0	obs-bad	0.62	11	right	cor	0.91	0.62
240.99	0	act	0.38	12	left	cor	0.98	2.76
250.0672	0	act	0.4	12	right	cor	0.99	3.98
259.8128	0	act	0.36	11	right	cor	0.93	0.66
269.4692	0	act-bad	0.6	11	right	cor	0.94	1.88
279.2496	0	act	0.42	10	right	cor	0.93	2.66
288.869	0	act	0.32	10	left	err	0.96	1.52
297.9062	0	act	0.46	11	left	cor	0.97	3.94
307.3886	0	act	0.36	11	left	cor	0.92	1.84
316.388	0	act-bad	0.96	10	left	cor	0.94	3.48
325.8284	0	act	0.32	10	left	err	0.51	1.76
334.9476	0	act	0.4	11	right	err	0.04	3.68
344.508	0	act	0.36	12	right	cor	0.86	1.32
358.3456	0	obs	0.32	10	left	err	0.06	3.46
367.3852	0	obs	0.4	11	right	err	0.05	3.48
376.9476	0	obs-bad	0.6	11	right	cor	0.94	1.88
386.7268	0	obs	0.4	12	right	cor	0.86	3.72
396.4654	0	obs	0.46	11	left	cor	0.59	0.8
405.9466	0	obs	0.42	10	right	cor	0.91	2.62
415.565	0	obs-bad	0.96	10	left	cor	0.65	2.9
425.0044	0	obs	0.36	12	right	cor	0.98	1.56
434.8448	0	obs	0.32	10	left	err	0.07	2.64
443.9694	0	obs	0.38	12	left	cor	0.93	2.66
453.0444	0	obs	0.36	11	right	cor	0.9	0.6
462.706	0	obs	0.36	11	left	cor	0.91	1.82
