onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.3982	0	act-bad	-0.02	17	right	err	0.6	6
14.2786	0	act	0.34	18	right	cor	0.69	4.98
24.118	0	act	0.32	18	left	err	0.07	0.64
33.1974	0	act	0.44	19	left	cor	0.76	1.12
42.2376	0	act	0.42	19	right	cor	0.66	2.92
52.1972	0	act-bad	0.4	18	left	cor	-1	-0.02
61.5744	0	act-bad	0.62	18	right	cor	0.74	3.08
71.2768	0	act	0.44	17	left	cor	0.76	1.12
80.5772	0	act	0.46	17	right	cor	0.77	1.14
90.1364	0	act	0.48	16	right	cor	0.86	1.72
99.657	0	act-bad	0.52	16	left	cor	0.79	1.58
108.9164	0	act	0.46	15	right	err	0.2	1.58
122.656	0	obs-bad	0.62	18	right	cor	0.82	3.24
132.3562	0	obs	0.46	17	right	cor	0.79	1.18
141.9158	0	obs	0.44	17	left	cor	0.79	1.18
151.2164	0	obs	0.44	19	left	cor	0.82	1.24
160.2554	0	obs	0.4	18	left	cor	0.81	4.42
169.6358	0	obs	0.48	16	right	cor	0.77	1.54
179.1486	0	obs	0.32	18	left	err	0.24	4.3
188.2356	0	obs	0.46	15	right	err	0.25	1.48
197.9728	0	obs	0.34	18	right	cor	0.73	1.06
207.8146	0	obs-bad	0.52	16	left	cor	0.73	1.46
217.0746	0	obs-bad	0.52	17	right	cor	0.75	2.3
226.9542	0	obs	0.42	19	right	cor	0.76	3.12
240.9146	0	act-bad	0.76	16	right	cor	0.89	0.58
250.8312	0	act	0.4	16	left	cor	0.72	3.44
260.0514	0	act-bad	0.52	15	left	cor	0.74	1.48
269.0538	0	act	0.44	15	right	cor	0.76	3.52
279.0732	0	act-bad	0.52	14	left	cor	0.73	3.46
288.5536	0	act	0.38	14	left	cor	0.76	3.12
297.713	0	act	0.44	13	left	cor	0.68	4.16
306.8332	0	act	0.5	13	right	cor	0.81	1.62
316.6096	0	act	0.46	12	left	cor	0.38	2.36
326.0532	0	act	0.42	12	left	cor	0.39	1.58
335.3922	0	act	0.42	11	right	cor	0.73	4.26
345.0528	0	act	0.46	11	right	cor	0.73	2.26
358.6724	0	obs	0.42	11	right	cor	0.8	4.4
368.3318	0	obs-bad	0.52	14	left	cor	0.72	3.44
377.8122	0	obs	0.46	11	right	cor	0.73	2.26
387.4318	0	obs	0.46	12	left	cor	0.62	2.84
396.8724	0	obs	0.44	13	left	cor	0.68	4.16
405.9862	0	obs	0.5	13	right	cor	0.56	1.12
415.7718	0	obs-bad	0.52	15	left	cor	0.77	1.54
424.7662	0	obs	0.44	15	right	cor	0.76	3.52
434.7886	0	obs	0.42	12	left	cor	0.64	2.08
444.131	0	obs-bad	0.76	16	right	cor	0.74	4.28
454.0482	0	obs	0.4	16	left	cor	0.6	3.2
463.2708	0	obs	0.38	14	left	cor	0.41	0.76
