onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.862	0	act-bad	-0.02	10	left	err	0.62	2.04
13.2022	0	act	0.44	11	left	cor	0.72	5.04
22.5014	0	act-bad	0.54	11	right	cor	0.62	2.84
32.4618	0	act	0.46	10	right	cor	0.63	2.06
42.3412	0	act	0.48	10	right	cor	0.82	3.64
52.0818	0	act	0.48	9	left	err	0.52	2.64
61.2438	0	act-bad	0.64	10	left	cor	0.61	1.22
70.2412	0	act-bad	0.7	10	right	cor	0.54	2.5
80.0838	0	act	0.4	9	right	cor	0.75	1.5
89.8582	0	act	0.44	9	left	cor	0.44	1.1
99.0784	0	act	0.44	8	left	err	0.41	1.16
108.5598	0	act-bad	0.54	9	right	cor	0.42	1.94
122.4806	0	obs	0.44	9	left	cor	0.62	0.74
131.6998	0	obs	0.46	10	right	cor	0.61	2.02
141.5804	0	obs	0.48	10	right	cor	0.63	3.26
151.3198	0	obs	0.44	8	left	err	0.44	1.1
160.799	0	obs-bad	0.52	10	left	cor	0.58	1.96
170.1374	0	obs	0.44	11	left	cor	0.6	0.8
179.4388	0	obs-bad	0.7	10	right	cor	0.57	0.74
189.277	0	obs	0.48	9	left	err	0.6	2.8
198.4386	0	obs-bad	0.54	11	right	cor	0.76	3.12
208.3988	0	obs-bad	0.54	9	right	cor	0.74	4.28
218.3184	0	obs	0.4	9	right	cor	0.78	1.56
228.0968	0	obs-bad	0.64	10	left	cor	0.61	1.22
241.0982	0	act-bad	0.88	9	left	cor	0.57	0.74
250.1376	0	act-bad	0.7	9	left	cor	0.56	1.66
259.516	0	act-bad	0.56	8	right	cor	0.56	1.66
269.1772	0	act	0.38	8	left	cor	0.41	1.96
278.3008	0	act	0.36	7	right	cor	0.63	1.26
287.8202	0	act-bad	0.52	7	left	err	0.46	0.92
297.0772	0	act	0.42	8	left	cor	0.61	2.02
306.16	0	act-bad	0.7	8	left	cor	0.46	2.52
315.5952	0	act	0.34	7	right	cor	0.77	2.34
325.2146	0	act	0.42	7	right	err	0.41	0.76
334.916	0	act	0.42	8	right	cor	0.61	0.82
344.4796	0	act	0.38	8	right	cor	0.6	0.78
358.496	0	obs-bad	0.52	7	left	err	0.6	1.2
367.7594	0	obs	0.42	8	right	cor	0.74	1.08
377.3136	0	obs	0.34	7	right	cor	0.62	2.04
386.9332	0	obs-bad	0.7	8	left	cor	0.38	0.82
396.3736	0	obs	0.38	8	right	cor	0.73	3.46
406.3948	0	obs	0.42	7	right	err	0.33	0.92
416.0952	0	obs	0.38	8	left	cor	0.28	2.22
425.2126	0	obs	0.36	7	right	cor	0.67	1.34
434.733	0	obs-bad	0.7	9	left	cor	0.59	1.6
444.1124	0	obs-bad	0.88	9	left	cor	0.33	2.92
453.1528	0	obs	0.42	8	left	cor	0.45	1.7
462.2334	0	obs-bad	0.56	8	right	cor	0.57	1.64
