onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.9604	0	act-bad	0.56	12	left	cor	0.53	2.66
13.3976	0	act	0.38	12	right	cor	0.73	3.06
23.0952	0	act	0.32	11	left	err	0.22	3.14
32.4004	0	act	0.38	12	right	cor	0.86	1.72
41.9168	0	act	0.34	12	left	cor	0.83	1.26
50.9552	0	act	0.38	11	right	cor	0.96	3.92
60.9766	0	act	0.32	11	right	cor	0.95	1.5
70.535	0	act	0.36	10	right	cor	0.75	2.3
80.1564	0	act	0.4	10	right	cor	0.63	2.06
90.0358	0	act	0.34	9	right	cor	0.61	0.82
99.8762	0	act	0.34	9	right	cor	0.6	2.8
109.8334	0	act	0.36	8	right	cor	0.4	1.18
123.5742	0	obs	0.38	12	right	cor	0.81	1.62
133.0986	0	obs	0.32	11	left	err	0.25	3.08
142.394	0	obs-bad	0.56	12	left	cor	0.79	3.18
151.8332	0	obs	0.36	10	right	cor	0.7	2.2
161.4546	0	obs	0.4	10	right	cor	0.78	2.36
171.3348	0	obs	0.34	12	left	cor	0.97	1.54
180.3742	0	obs	0.38	11	right	cor	0.9	3.8
190.3948	0	obs	0.36	8	right	cor	0.31	1.36
200.137	0	obs	0.34	9	right	cor	0.59	2.78
210.0946	0	obs	0.34	9	right	cor	0.56	0.72
219.934	0	obs	0.32	11	right	cor	0.67	0.94
229.4972	0	obs	0.38	12	right	cor	0.73	3.06
243.192	0	act	0.4	8	left	err	0.05	1.88
252.6732	0	act	0.34	9	right	err	0.41	1.96
262.3336	0	act	0.34	10	left	err	0.14	2.5
271.4528	0	act	0.4	11	right	err	0.12	3.74
281.2312	0	act	0.36	12	left	err	0.19	1.2
290.3926	0	act	0.4	13	left	cor	0.76	3.52
299.611	0	act	0.48	13	left	err	0.78	2.36
308.9536	0	act	0.34	14	left	cor	0.92	2.64
318.0316	0	act	0.36	14	left	cor	0.9	1.8
327.03	0	act	0.4	13	right	err	0.04	2.7
336.9514	0	act	0.36	14	left	err	0.17	3.64
346.212	0	act	0.36	15	left	cor	0.88	0.56
359.589	0	obs	0.34	14	left	cor	0.77	2.34
368.6716	0	obs	0.4	11	right	err	0.12	3.74
378.4512	0	obs	0.36	14	left	cor	0.94	1.88
387.4486	0	obs	0.36	15	left	cor	0.78	4.36
396.829	0	obs	0.34	9	right	err	0.54	1.7
406.4934	0	obs	0.48	13	left	err	0.43	1.66
415.8288	0	obs	0.4	13	left	cor	0.67	3.34
425.048	0	obs	0.4	8	left	err	0.66	3.32
434.5286	0	obs	0.4	13	right	err	0.38	2.02
444.453	0	obs	0.34	10	left	err	0.14	2.5
453.5682	0	obs	0.36	14	left	err	0.17	3.64
462.8276	0	obs	0.36	12	left	err	0.15	1.28
