onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.9118	0	act	0.42	32	left	cor	0.97	0.74
13.292	0	act	0.38	32	right	cor	0.92	1.44
22.8516	0	act	0.42	31	left	cor	1	3.6
32.0118	0	act	0.44	31	right	cor	0.95	2.7
41.8912	0	act	0.38	30	left	cor	0.97	2.74
50.9734	0	act	0.4	30	right	cor	0.98	0.76
60.634	0	act	0.36	29	right	cor	0.99	3.98
70.6502	0	act	0.44	29	left	cor	0.86	2.52
79.9914	0	act	0.34	28	right	cor	0.92	1.84
89.51	0	act	0.36	28	right	cor	0.98	3.96
99.2506	0	act	0.38	27	left	cor	0.96	3.92
108.4698	0	act	0.4	27	left	cor	0.96	3.92
121.9524	0	obs	0.4	30	right	cor	1	0.8
131.613	0	obs	0.38	32	right	cor	0.95	1.5
141.1722	0	obs	0.42	31	left	cor	0.9	3.4
150.3296	0	obs	0.38	30	left	cor	0.99	2.78
159.409	0	obs	0.44	31	right	cor	0.94	2.68
169.2892	0	obs	0.38	27	left	cor	0.98	3.96
178.5088	0	obs	0.36	29	right	cor	0.96	3.92
188.5292	0	obs	0.4	27	left	cor	0.93	3.86
198.0084	0	obs	0.34	28	right	cor	0.93	1.86
207.531	0	obs	0.36	28	right	cor	0.94	3.88
217.2678	0	obs	0.42	32	left	cor	0.97	0.74
226.6478	0	obs	0.44	29	left	cor	1	2.8
239.991	0	act	0.44	26	left	cor	0.93	1.46
249.2854	0	act	0.36	26	right	cor	0.95	2.7
258.9096	0	act	0.34	25	right	cor	0.99	3.58
268.8672	0	act	0.34	25	right	cor	0.99	3.62
278.5696	0	act	0.4	24	left	cor	0.96	1.92
287.8298	0	act	0.36	24	right	cor	0.95	1.5
297.668	0	act	0.38	23	right	cor	0.94	0.68
307.5868	0	act	0.4	23	left	cor	0.75	1.1
316.626	0	act	0.38	22	right	cor	0.95	1.9
326.4074	0	act	0.5	22	left	err	0	1.58
335.8488	0	act	0.3	23	left	cor	0.92	1.84
344.8462	0	act	0.4	23	left	cor	0.99	0.78
357.9658	0	obs	0.5	22	left	err	0	1.6
367.4032	0	obs	0.4	24	left	cor	0.96	1.92
376.6636	0	obs	0.44	26	left	cor	0.93	1.46
385.965	0	obs	0.4	23	left	cor	0.95	0.7
395.0854	0	obs	0.38	23	right	cor	0.92	0.64
405.0048	0	obs	0.38	22	right	cor	0.93	1.86
414.7858	0	obs	0.34	25	right	cor	0.98	3.64
424.4846	0	obs	0.36	26	right	cor	0.98	2.84
434.1054	0	obs	0.4	23	left	cor	0.89	1.38
443.1474	0	obs	0.36	24	right	cor	0.75	1.1
452.9836	0	obs	0.3	23	left	cor	0.98	1.96
461.984	0	obs	0.34	25	right	cor	1	3.6
