filename	acq_time	operator	randstr
func/sub-13_ses-001_task-main_run-001_bold.nii.gz	2017-07-06T11:13:45	n/a	IX&_yVaK
func/sub-13_ses-001_task-main_run-002_bold.nii.gz	2017-07-06T11:25:46	n/a	p=n&1XA6
anat/sub-13_ses-001_run-001_T1w.nii.gz	2017-07-06T11:36:10	n/a	z=9cUhw4
func/sub-13_ses-001_task-main_run-003_bold.nii.gz	2017-07-06T11:45:25	n/a	~F,nVK5Q
func/sub-13_ses-001_task-main_run-004_bold.nii.gz	2017-07-06T11:49:46	n/a	_%EHJYP\
func/sub-13_ses-001_task-rest_run-001_bold.nii.gz	2017-07-06T11:57:42	n/a	r:#GYcCd
func/sub-13_ses-001_task-main_run-005_bold.nii.gz	2017-07-06T12:06:25	n/a	G8^B3X[<
fmap/sub-13_ses-001_magnitude.nii.gz	2017-07-06T12:14:32	n/a	vF%rxa\`
fmap/sub-13_ses-001_magnitude1.nii.gz	2017-07-06T12:14:32	n/a	E76kj~1l
fmap/sub-13_ses-001_magnitude2.nii.gz	2017-07-06T12:14:32	n/a	i&*FG1p#
func/sub-13_ses-001_task-main_run-006_bold.nii.gz	2017-07-06T12:26:23	n/a	}REc8tIX
