onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.316	0	act	0.36	19	right	cor	0.72	1.44
14.0888	0	act	0.44	19	right	err	0.16	1.26
23.7938	0	act	0.4	20	left	cor	0.84	3.68
33.012	0	act	0.48	20	left	cor	0.77	2.34
42.0904	0	act	0.48	19	right	cor	0.78	1.56
51.6138	0	act	0.4	19	left	cor	0.83	1.66
60.612	0	act	0.42	18	left	cor	0.81	1.22
69.6494	0	act	0.36	18	left	cor	0.78	1.56
78.9122	0	act	0.46	17	right	cor	0.78	3.16
88.8692	0	act	0.38	17	left	cor	0.81	2.42
98.2136	0	act	0.38	16	left	cor	0.64	2.88
107.3706	0	act	0.44	16	left	cor	0.73	3.06
120.8086	0	obs	0.44	19	right	err	0.25	1.08
130.5088	0	obs	0.44	16	left	cor	0.82	3.24
139.9504	0	obs	0.36	19	right	cor	0.69	1.38
149.732	0	obs	0.4	19	left	cor	0.8	1.6
158.728	0	obs	0.36	18	left	cor	0.81	1.62
167.9904	0	obs	0.38	17	left	cor	0.7	2.2
177.3264	0	obs	0.48	20	left	cor	0.81	2.42
186.4072	0	obs	0.46	17	right	cor	0.92	3.44
196.3676	0	obs	0.42	18	left	cor	0.66	0.92
205.412	0	obs	0.48	19	right	cor	0.84	1.68
214.9274	0	obs	0.4	20	left	cor	0.64	3.28
224.1486	0	obs	0.38	16	left	cor	0.6	2.8
237.3122	0	act-bad	0.52	15	right	cor	0.61	2.36
247.1486	0	act	0.32	15	left	cor	0.73	1.06
256.446	0	act	0.4	14	left	cor	0.75	3.5
265.9284	0	act-bad	0.62	14	right	cor	0.66	2.12
275.8076	0	act	0.32	13	left	cor	0.83	1.12
284.9312	0	act-bad	0.52	13	right	cor	0.61	3.22
294.6704	0	act	0.24	12	right	err	0.15	2.48
304.5878	0	act	0.36	13	right	err	0.19	2.4
314.2452	0	act	0.42	14	left	cor	0.81	0.42
323.6276	0	act	0.44	14	right	cor	0.82	1.24
333.188	0	act	0.46	13	right	cor	0.68	2.16
342.8052	0	act	0.48	13	right	cor	0.61	0.76
356.827	0	obs-bad	0.52	15	right	cor	0.73	2.12
366.6644	0	obs	0.32	13	left	cor	0.85	0.5
375.7896	0	obs	0.36	13	right	err	0.19	2.4
385.446	0	obs-bad	0.62	14	right	cor	0.56	1.92
395.3264	0	obs	0.48	13	right	cor	0.76	3.52
405.346	0	obs	0.24	12	right	err	0.31	2.16
415.2684	0	obs	0.32	15	left	cor	0.8	1.2
424.5658	0	obs	0.46	13	right	cor	0.78	2.36
434.1852	0	obs	0.44	14	right	cor	0.77	1.14
443.7456	0	obs	0.42	14	left	cor	0.86	1.06
453.128	0	obs-bad	0.52	13	right	cor	0.63	3.26
462.8632	0	obs	0.4	14	left	cor	0.81	3.62
