onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.0926	0	act	0.42	15	right	cor	0.76	1.12
13.6562	0	act	0.38	15	right	cor	0.81	2.42
23.2724	0	act	0.3	14	left	cor	0.84	1.28
32.3158	0	act	0.42	14	left	cor	0.84	0.48
41.692	0	act	0.48	13	right	cor	0.68	0.96
51.5356	0	act	0.3	13	right	err	0.24	1.28
61.4118	0	act	0.32	14	right	err	0.26	1.06
71.1144	0	act	0.34	15	left	cor	0.77	3.14
80.5548	0	act	0.4	15	right	cor	0.8	3.6
90.5712	0	act	0.46	14	right	cor	0.53	1.06
100.0946	0	act	0.36	14	right	err	0.32	1.34
109.834	0	act	0.4	15	left	err	0.16	3.66
122.8306	0	obs	0.3	13	right	err	0.21	1.22
132.7108	0	obs	0.4	15	left	err	0.15	3.68
141.7134	0	obs	0.42	14	left	cor	0.85	1.08
151.0908	0	obs	0.34	15	left	cor	0.85	3.3
160.528	0	obs	0.36	14	right	err	0.33	1.32
170.2686	0	obs	0.46	14	right	cor	0.37	3.24
179.7898	0	obs	0.32	14	right	err	0.31	0.96
189.4882	0	obs	0.38	15	right	cor	0.81	2.42
199.1096	0	obs	0.3	14	left	cor	0.79	1.18
208.1532	0	obs	0.4	15	right	cor	0.7	0.58
218.1694	0	obs	0.48	13	right	cor	0.81	1.22
228.0088	0	obs	0.42	15	right	cor	0.76	1.12
241.5724	0	act	0.46	16	left	cor	0.81	3.22
250.7316	0	act	0.42	16	right	cor	0.66	1.46
260.392	0	act	0.34	15	left	cor	0.88	1.02
269.5114	0	act	0.5	15	left	cor	0.84	3.68
278.7316	0	act-bad	0.52	14	left	cor	0.4	1.6
287.811	0	act	0.34	14	left	cor	0.83	1.26
297.1106	0	act	0.32	13	left	cor	0.68	2.16
306.4478	0	act	0.42	13	left	cor	0.81	1.62
315.7104	0	act	0.36	12	right	err	0.19	1.2
325.6676	0	act	0.32	13	right	err	0.27	0.54
335.4468	0	act	0.26	14	left	cor	0.84	3.68
344.9312	0	act	0.4	14	right	err	0.25	2.28
358.847	0	obs	0.26	14	left	cor	0.79	3.58
368.3294	0	obs	0.34	15	left	cor	0.88	1.02
377.4466	0	obs	0.42	16	right	cor	0.49	1.8
387.1062	0	obs	0.32	13	right	err	0.3	3.38
396.8896	0	obs	0.42	13	left	cor	0.8	1.6
406.1438	0	obs	0.4	14	right	err	0.31	2.16
416.0696	0	obs	0.32	13	left	cor	0.81	2.42
425.4088	0	obs-bad	0.52	14	left	cor	0.7	2.2
434.4862	0	obs	0.34	14	left	cor	0.92	1.44
443.789	0	obs	0.36	12	right	err	0.16	1.26
453.7488	0	obs	0.5	15	left	cor	0.85	3.7
462.965	0	obs	0.46	16	left	cor	0.92	3.44
