onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.5408	0	act	0.36	14	right	err	0.33	1.32
14.561	0	act	0.3	15	left	err	0.3	0.98
24.0036	0	act	0.44	16	right	err	0.16	2.46
33.6608	0	act	0.4	17	right	err	0.31	0.96
43.6202	0	act	0.28	18	right	cor	0.83	1.66
53.1406	0	act	0.32	18	left	err	0.12	1.74
62.62	0	act-bad	-0.02	19	right	err	-1	-0.02
72.4604	0	act	0.5	20	right	cor	0.86	1.32
82.0226	0	act-bad	0.58	20	left	cor	0.87	4.54
91.3992	0	act	0.36	19	right	err	0.74	2.28
101.2796	0	act	0.36	20	right	cor	0.9	2.6
110.902	0	act	0.42	20	left	cor	0.89	1.78
124.1596	0	obs	0.36	19	right	err	0.72	2.24
134.0422	0	obs	0.28	18	right	cor	0.95	1.9
143.5586	0	obs	0.42	20	left	cor	0.87	1.74
152.8188	0	obs	0.3	15	left	err	0.06	1.46
162.2584	0	obs-bad	0.52	19	right	cor	0.67	4.94
172.0984	0	obs	0.36	14	right	err	0.21	1.56
182.118	0	obs	0.36	20	right	cor	0.87	2.54
191.7384	0	obs-bad	0.58	20	left	cor	0.82	1.14
201.1208	0	obs	0.5	20	right	cor	0.83	1.26
210.6782	0	obs	0.44	16	right	err	0.09	2.6
220.3406	0	obs	0.4	17	right	err	0.03	1.52
230.2978	0	obs	0.32	18	left	err	0.03	1.92
243.7774	0	act	0.4	19	right	cor	0.94	0.68
253.6968	0	act	0.34	19	left	cor	0.91	2.62
263.0402	0	act	0.36	18	right	cor	0.94	3.88
272.7796	0	act	0.32	18	left	cor	0.9	1.8
281.777	0	act	0.38	17	left	cor	0.91	3.42
290.9362	0	act	0.38	17	left	cor	0.97	0.74
300.0568	0	act	0.5	16	right	cor	0.68	1.36
309.836	0	act	0.38	16	left	cor	0.76	2.32
318.9132	0	act	0.46	15	left	cor	0.67	0.64
328.1356	0	act	0.36	15	left	cor	0.82	1.24
337.435	0	act	0.46	14	right	cor	0.87	3.34
347.1358	0	act	0.42	14	left	cor	0.81	1.22
360.1784	0	obs	0.42	14	left	cor	0.84	1.28
369.2154	0	obs	0.46	14	right	cor	0.96	3.52
378.9176	0	obs	0.46	15	left	cor	0.6	0.78
388.1384	0	obs	0.32	18	left	cor	0.82	1.64
397.1326	0	obs	0.36	15	left	cor	0.7	1
406.434	0	obs	0.5	16	right	cor	0.83	1.66
416.2144	0	obs	0.34	19	left	cor	0.83	2.46
425.5518	0	obs	0.38	17	left	cor	0.93	3.46
434.7166	0	obs	0.38	16	left	cor	0.67	2.14
443.7936	0	obs	0.36	18	right	cor	0.55	0.88
453.5338	0	obs	0.4	19	right	cor	0.89	0.58
463.4532	0	obs	0.38	17	left	cor	0.9	0.6
