onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.86	0	act	0.34	16	left	cor	0.77	2.34
13.198	0	act	0.36	16	left	cor	0.71	0.56
22.4194	0	act	0.38	15	left	cor	0.89	1.78
31.4198	0	act-bad	0.58	15	right	cor	0.79	1.18
40.9792	0	act-bad	0.14	14	right	err	0.41	1.96
50.6396	0	act	0.42	15	left	cor	0.8	1.2
59.939	0	act	0.32	15	left	cor	0.88	0.56
69.3172	0	act	0.3	14	right	cor	0.74	1.08
79.1588	0	act	0.4	14	right	cor	0.84	1.68
88.679	0	act-bad	0.52	13	right	cor	0.53	0.52
98.3788	0	act	0.26	13	right	err	0.47	1.74
107.9988	0	act-bad	0.16	14	right	cor	0.56	0.46
121.9588	0	obs	0.34	16	left	cor	0.85	2.5
131.2958	0	obs	0.38	15	left	cor	0.78	1.56
140.2962	0	obs	0.4	14	right	cor	0.64	1.28
149.8176	0	obs	0.36	16	left	cor	0.53	0.92
159.036	0	obs-bad	0.58	15	right	cor	0.57	0.74
168.5976	0	obs-bad	0.52	13	right	cor	0.57	0.44
178.2978	0	obs-bad	0.14	14	right	err	0.19	2.4
187.9604	0	obs-bad	0.16	14	right	cor	0.45	0.68
197.9164	0	obs	0.3	14	right	cor	0.62	0.84
207.7568	0	obs	0.42	15	left	cor	0.69	0.98
217.0564	0	obs	0.32	15	left	cor	0.68	1.42
226.4346	0	obs	0.26	13	right	err	0.46	1.72
240.0562	0	act	0.3	14	right	cor	0.75	2.3
249.9356	0	act	0.28	14	left	err	0.24	1.1
259.3788	0	act-bad	0.6	15	left	cor	0.59	0.4
268.5352	0	act	0.42	15	right	cor	0.74	1.48
278.3156	0	act-bad	0.56	14	right	cor	0.82	0.44
288.235	0	act	0.22	14	left	cor	0.76	0.46
297.7154	0	act	0.24	13	left	cor	0.8	2.4
306.795	0	act-bad	0.62	13	right	cor	0.77	0.44
316.535	0	act	0.4	12	right	cor	0.77	0.44
326.5546	0	act-bad	-0.02	12	left	err	0.63	0.86
335.595	0	act	0.42	13	left	cor	0.77	1.54
344.8544	0	act	0.3	13	left	err	0.38	2.02
357.974	0	obs-bad	0.6	15	left	cor	0.56	0.46
367.1344	0	obs	0.42	15	right	cor	0.74	1.48
376.9118	0	obs	0.28	14	left	err	0.5	0.58
386.352	0	obs-bad	0.62	13	right	cor	0.75	0.48
396.0936	0	obs-bad	0.56	14	right	cor	0.82	0.44
406.011	0	obs	0.24	13	left	cor	0.84	2.48
415.0964	0	obs	0.42	13	left	cor	0.72	1.44
424.3526	0	obs	0.22	14	left	cor	0.72	0.54
433.833	0	obs	0.3	13	left	err	0.86	0.52
442.9524	0	obs	0.4	12	right	cor	0.76	0.46
452.9728	0	obs	0.3	14	right	cor	0.82	2.44
462.8502	0	obs-bad	0.52	12	left	cor	0.59	0.78
