onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.9604	0	act	0.34	11	left	err	0.2	1.18
13.3998	0	act-bad	0.52	12	right	cor	0.45	2.68
23.2394	0	act	0.3	12	right	cor	0.72	2.24
33.1198	0	act	0.36	11	right	cor	0.92	0.64
43.0392	0	act	0.38	11	right	cor	0.85	3.3
52.7396	0	act	0.42	10	right	cor	0.89	3.78
62.7592	0	act	0.34	10	left	err	0.24	1.1
71.9166	0	act	0.46	11	right	cor	0.43	2.72
81.4758	0	act	0.32	11	right	cor	0.75	2.3
91.0952	0	act	0.36	10	right	cor	0.75	3.1
101.0584	0	act	0.4	10	left	cor	0.78	2.36
110.1348	0	act-bad	0.52	9	left	cor	0.81	1.22
123.4386	0	obs	0.4	10	left	cor	0.81	2.42
132.5158	0	obs	0.46	11	right	cor	0.66	0.92
142.0774	0	obs-bad	0.52	9	left	cor	0.76	1.12
151.3778	0	obs	0.36	11	right	cor	0.71	1.36
161.294	0	obs	0.32	11	right	cor	0.79	2.38
170.9146	0	obs	0.3	12	right	cor	0.97	2.74
180.7938	0	obs	0.34	10	left	err	0.18	1.22
189.9574	0	obs	0.34	11	left	err	0.09	1.4
199.3966	0	obs	0.36	10	right	cor	0.81	3.22
209.357	0	obs	0.38	11	right	cor	0.85	3.3
219.0566	0	obs-bad	0.52	12	right	cor	0.83	1.26
228.8958	0	obs	0.42	10	right	cor	0.64	3.28
242.915	0	act	0.34	9	left	err	0.26	3.46
252.1756	0	act	0.36	10	left	cor	0.77	3.54
261.3946	0	act	0.34	10	left	err	0.28	2.22
270.7752	0	act	0.36	11	left	cor	0.89	1.38
279.8136	0	act	0.42	11	right	cor	0.91	1.82
289.3348	0	act	0.32	10	right	cor	0.71	1.42
299.1148	0	act	0.36	10	left	err	0.59	1.18
308.1148	0	act	0.38	11	left	cor	0.81	3.62
317.5942	0	act	0.38	11	right	cor	0.82	3.64
327.3324	0	act	0.34	10	left	cor	0.68	1.42
336.451	0	act-bad	0.74	10	left	err	0.5	1.8
345.7942	0	act	0.38	11	right	cor	0.78	1.22
359.4508	0	obs	0.34	9	left	err	0.53	1.06
368.7104	0	obs-bad	0.74	10	left	err	0.12	4.54
378.0508	0	obs	0.34	10	left	cor	0.76	1.26
387.17	0	obs	0.34	10	left	err	0.47	1.84
396.5504	0	obs	0.38	11	left	cor	0.88	3.76
406.0298	0	obs	0.38	11	right	cor	0.9	4.6
415.693	0	obs	0.36	10	left	err	0.41	0.82
424.6924	0	obs	0.42	11	right	cor	0.84	1.68
434.213	0	obs	0.36	11	left	cor	0.82	1.24
443.2506	0	obs	0.36	10	left	cor	0.54	0.9
452.4694	0	obs	0.32	10	right	cor	0.32	0.64
462.2522	0	obs	0.38	11	right	cor	0.79	3.58
